Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_x	Time: 5.1200	Mesh (Number of cells): 515
0.2286374808 	 0.6236909706 	 -0.1746710696 	 -0.1746709505 	 327
0.2283472015 	 -0.6251504490 	 0.1655622394 	 0.1655621097 	 328
-0.2286374808 	 -0.6236909706 	 0.1746712587 	 0.1746711392 	 329
-0.2283472015 	 0.6251504490 	 -0.1655625085 	 -0.1655623783 	 330
0.3063012511 	 0.1740972329 	 0.0299110752 	 0.0299111216 	 331
-0.3063012511 	 -0.1740972329 	 -0.0299113524 	 -0.0299113983 	 332
-0.4039083948 	 -0.0021187157 	 -0.0056452763 	 -0.0056452934 	 333
0.4039083948 	 0.0021187157 	 0.0056452669 	 0.0056452839 	 334
-0.4780218543 	 0.0230756109 	 -0.0080236037 	 -0.0080236091 	 335
0.4780218543 	 -0.0230756109 	 0.0080236109 	 0.0080236163 	 336
0.3044289643 	 -0.6168473796 	 0.2270072925 	 0.2270071640 	 337
-0.3044289643 	 0.6168473796 	 -0.2270075256 	 -0.2270073968 	 338
0.3074776873 	 0.6113536382 	 -0.2294180508 	 -0.2294179280 	 339
-0.3074776873 	 -0.6113536382 	 0.2294182168 	 0.2294180936 	 340
0.3464525447 	 -0.0488017764 	 0.0042657869 	 0.0042657700 	 341
-0.3464525447 	 0.0488017764 	 -0.0042657569 	 -0.0042657401 	 342
-0.0304992092 	 0.9100866140 	 -0.9900413874 	 -0.9900412395 	 343
0.0304992092 	 -0.9100866140 	 0.9900416158 	 0.9900414675 	 344
0.0304992092 	 0.9100866140 	 -0.9783165010 	 -0.9783163768 	 345
-0.0304992092 	 -0.9100866140 	 0.9783166600 	 0.9783165355 	 346
0.5568832011 	 0.5716464175 	 -0.4012511020 	 -0.4012510324 	 347
-0.5568832011 	 -0.5716464175 	 0.4012511735 	 0.4012511037 	 348
-0.5237374537 	 -0.1079669063 	 0.0116190293 	 0.0116189744 	 349
0.5237374537 	 0.1079669063 	 -0.0116190860 	 -0.0116190310 	 350
-0.6218877400 	 -0.0077990961 	 -0.0028740392 	 -0.0028740592 	 351
0.6218877400 	 0.0077990961 	 0.0028740357 	 0.0028740557 	 352
-0.3546021136 	 0.6807267452 	 -0.4264178816 	 -0.4264177485 	 353
0.3546021136 	 -0.6807267452 	 0.4264176469 	 0.4264175142 	 354
0.3541042232 	 0.6795356642 	 -0.4195472864 	 -0.4195471686 	 355
-0.3541042232 	 -0.6795356642 	 0.4195474702 	 0.4195473519 	 356
-0.5393827203 	 -0.0286385039 	 0.0015488159 	 0.0015487877 	 357
0.5393827203 	 0.0286385039 	 -0.0015488329 	 -0.0015488047 	 358
-0.5813247423 	 -0.1623964300 	 0.0475767092 	 0.0475766443 	 359
0.5813247423 	 0.1623964300 	 -0.0475767609 	 -0.0475766959 	 360
0.1848040871 	 -0.2049753600 	 -0.0109564437 	 -0.0109564503 	 361
-0.1848040871 	 0.2049753600 	 0.0109568329 	 0.0109568388 	 362
0.4326872912 	 -0.1541836838 	 -0.0019375801 	 -0.0019376413 	 363
-0.4326872912 	 0.1541836838 	 0.0019377026 	 0.0019377635 	 364
0.3098738716 	 -0.7532667849 	 0.5618431930 	 0.5618430387 	 365
-0.3098738716 	 0.7532667849 	 -0.5618434388 	 -0.5618432841 	 366
0.3098363961 	 0.7531221745 	 -0.5581449657 	 -0.5581448383 	 367
-0.3098363961 	 -0.7531221745 	 0.5581451850 	 0.5581450571 	 368
0.8171232020 	 0.1306859714 	 -0.1115315850 	 -0.1115315778 	 369
-0.8171232020 	 -0.1306859714 	 0.1115315803 	 0.1115315731 	 370
0.1229370075 	 0.3084756972 	 0.0176009339 	 0.0176009379 	 371
-0.1229370075 	 -0.3084756972 	 -0.0176012078 	 -0.0176012112 	 372
0.4261580978 	 -0.5405465935 	 0.2326340205 	 0.2326339096 	 373
-0.4261580978 	 0.5405465935 	 -0.2326341365 	 -0.2326340254 	 374
0.0862395228 	 0.2434866930 	 0.0075355212 	 0.0075355181 	 375
-0.0862395228 	 -0.2434866930 	 -0.0075355382 	 -0.0075355351 	 376
-0.2065726131 	 -0.0873816822 	 -0.0056598335 	 -0.0056598308 	 377
0.2065726131 	 0.0873816822 	 0.0056597896 	 0.0056597871 	 378
-0.6146781210 	 -0.2957526623 	 0.1406049161 	 0.1406048465 	 379
0.6146781210 	 0.2957526623 	 -0.1406049525 	 -0.1406048830 	 380
0.2686982607 	 0.0513106660 	 0.0148427991 	 0.0148428028 	 381
-0.2686982607 	 -0.0513106660 	 -0.0148428660 	 -0.0148428696 	 382
-0.6871191247 	 -0.2689870862 	 0.1642326107 	 0.1642325657 	 383
0.6871191247 	 0.2689870862 	 -0.1642326283 	 -0.1642325832 	 384
0.1245056941 	 0.4373256876 	 0.0075438854 	 0.0075439071 	 385
0.1138582102 	 -0.4447067911 	 -0.0071014281 	 -0.0071014437 	 386
-0.1245056941 	 -0.4373256876 	 -0.0075439449 	 -0.0075439665 	 387
-0.1138582102 	 0.4447067911 	 0.0071014496 	 0.0071014651 	 388
0.7788763506 	 -0.2031059930 	 0.1528143880 	 0.1528143781 	 389
-0.7788763506 	 0.2031059930 	 -0.1528143863 	 -0.1528143765 	 390
0.0000000000 	 0.7293946871 	 -0.0612334252 	 -0.0612333916 	 391
-0.0000000000 	 -0.7293946871 	 0.0612328059 	 0.0612327735 	 392
0.1103115609 	 -0.3191408777 	 -0.0150563576 	 -0.0150563579 	 393
-0.1103115609 	 0.3191408777 	 0.0150565408 	 0.0150565407 	 394
0.1835524874 	 -0.4371371771 	 -0.0010209626 	 -0.0010209938 	 395
-0.1835524874 	 0.4371371771 	 0.0010210150 	 0.0010210460 	 396
0.1889434603 	 -0.5632928136 	 0.0230107121 	 0.0230106649 	 397
-0.1889434603 	 0.5632928136 	 -0.0230107923 	 -0.0230107450 	 398
0.1969438450 	 0.5532765444 	 -0.0277467803 	 -0.0277467276 	 399
-0.1969438450 	 -0.5532765444 	 0.0277468481 	 0.0277467952 	 400
0.8730794251 	 0.2835841341 	 -0.2780121093 	 -0.2780121124 	 401
-0.8730794251 	 -0.2835841342 	 0.2780121082 	 0.2780121113 	 402
0.5560993660 	 -0.5008521631 	 0.2977551638 	 0.2977550941 	 403
-0.5560993660 	 0.5008521631 	 -0.2977552323 	 -0.2977551625 	 404
0.8985515000 	 0.1454569915 	 -0.1385032006 	 -0.1385032031 	 405
-0.8985515000 	 -0.1454569916 	 0.1385031990 	 0.1385032014 	 406
0.6216567689 	 -0.4480338614 	 0.2818074787 	 0.2818074301 	 407
-0.6216567689 	 0.4480338614 	 -0.2818075203 	 -0.2818074716 	 408
0.0850342470 	 -0.5084565770 	 0.0019874315 	 0.0019874241 	 409
-0.0850342470 	 0.5084565770 	 -0.0019874450 	 -0.0019874376 	 410
0.0870838285 	 0.5026552973 	 -0.0021634700 	 -0.0021634621 	 411
-0.0870838285 	 -0.5026552973 	 0.0021634662 	 0.0021634583 	 412
0.6047555417 	 -0.3663357421 	 0.1871752434 	 0.1871751803 	 413
-0.6047555417 	 0.3663357421 	 -0.1871752500 	 -0.1871751870 	 414
-0.1133656568 	 0.6973169758 	 -0.2259826745 	 -0.2259825367 	 415
0.1133656568 	 -0.6973169758 	 0.2259824686 	 0.2259823312 	 416
0.1133656568 	 0.6973169758 	 -0.2380430331 	 -0.2380429092 	 417
-0.1133656568 	 -0.6973169758 	 0.2380431544 	 0.2380430304 	 418
0.7087199367 	 -0.1841030014 	 0.1065130489 	 0.1065130243 	 419
-0.7087199367 	 0.1841030014 	 -0.1065130376 	 -0.1065130130 	 420
0.5565772949 	 -0.5819782635 	 0.4185774179 	 0.4185773580 	 421
-0.5565772949 	 0.5819782635 	 -0.4185775229 	 -0.4185774628 	 422
0.9287823317 	 0.2229678222 	 -0.2303990053 	 -0.2303990065 	 423
-0.9287823317 	 -0.2229678222 	 0.2303990040 	 0.2303990053 	 424
-0.8219650535 	 -0.4171436487 	 0.4096151531 	 0.4096151560 	 425
0.8219650535 	 0.4171436487 	 -0.4096151501 	 -0.4096151530 	 426
0.8205919773 	 0.4937237226 	 -0.5160884977 	 -0.5160885003 	 427
-0.8205919773 	 -0.4937237226 	 0.5160884966 	 0.5160884992 	 428
0.7764006755 	 0.1961246585 	 -0.1496708101 	 -0.1496707920 	 429
-0.7764006755 	 -0.1961246585 	 0.1496708022 	 0.1496707841 	 430
0.2252646098 	 -0.7535620217 	 0.5161259619 	 0.5161257616 	 431
-0.2252646098 	 0.7535620217 	 -0.5161262488 	 -0.5161260480 	 432
0.2252630305 	 0.7535604264 	 -0.5085145265 	 -0.5085143640 	 433
-0.2252630305 	 -0.7535604264 	 0.5085147590 	 0.5085145958 	 434
0.8205518853 	 -0.4240906598 	 0.4162966227 	 0.4162966296 	 435
-0.8205518853 	 0.4240906598 	 -0.4162966296 	 -0.4162966366 	 436
0.4431264112 	 0.4730277472 	 -0.1721018484 	 -0.1721017356 	 437
-0.4431264112 	 -0.4730277472 	 0.1721018633 	 0.1721017504 	 438
-0.6878846382 	 -0.0651657836 	 0.0292009406 	 0.0292009152 	 439
0.6878846382 	 0.0651657836 	 -0.0292009546 	 -0.0292009292 	 440
-0.6566046763 	 -0.1408120575 	 0.0634137012 	 0.0634136550 	 441
0.6566046763 	 0.1408120575 	 -0.0634137273 	 -0.0634136811 	 442
0.1850311041 	 -0.6861351386 	 0.2527586577 	 0.2527584939 	 443
-0.1850311041 	 0.6861351386 	 -0.2527591174 	 -0.2527589528 	 444
0.1850311042 	 0.6861351386 	 -0.2681349119 	 -0.2681347669 	 445
-0.1850311042 	 -0.6861351386 	 0.2681352143 	 0.2681350686 	 446
0.9510193044 	 -0.0767676776 	 0.0780103796 	 0.0780103807 	 447
-0.9510193044 	 0.0767676776 	 -0.0780103792 	 -0.0780103803 	 448
0.1180226184 	 -0.5704502566 	 -0.0028236053 	 -0.0028236308 	 449
-0.1180226184 	 0.5704502566 	 0.0028235008 	 0.0028235265 	 450
0.1213287486 	 0.5694560089 	 -0.0045409007 	 -0.0045408686 	 451
-0.1213287486 	 -0.5694560089 	 0.0045409267 	 0.0045408946 	 452
0.9272869053 	 -0.2315296866 	 0.2324800847 	 0.2324800872 	 453
-0.9272869053 	 0.2315296866 	 -0.2324800838 	 -0.2324800862 	 454
0.2217748916 	 -0.4984154382 	 0.0212146096 	 0.0212145464 	 455
-0.2217748916 	 0.4984154382 	 -0.0212146327 	 -0.0212145695 	 456
0.2963939336 	 -0.4816614357 	 0.0533406773 	 0.0533405831 	 457
-0.2963939336 	 0.4816614357 	 -0.0533407019 	 -0.0533406078 	 458
0.0831764908 	 -0.2572259397 	 -0.0060808711 	 -0.0060808703 	 459
-0.0831764908 	 0.2572259397 	 0.0060809269 	 0.0060809259 	 460
0.7028331511 	 -0.4614646842 	 0.3688084712 	 0.3688084540 	 461
-0.7028331511 	 0.4614646842 	 -0.3688085075 	 -0.3688084902 	 462
0.6605102025 	 -0.3111017079 	 0.1749238043 	 0.1749237565 	 463
-0.6605102025 	 0.3111017079 	 -0.1749238034 	 -0.1749237556 	 464
0.3145241620 	 -0.4068363201 	 0.0263302356 	 0.0263301402 	 465
-0.3145241620 	 0.4068363201 	 -0.0263301587 	 -0.0263300634 	 466
0.7467578161 	 0.3114040239 	 -0.2362736726 	 -0.2362736458 	 467
-0.7467578161 	 -0.3114040239 	 0.2362736649 	 0.2362736382 	 468
0.2616259435 	 -0.2976376559 	 -0.0205798530 	 -0.0205799144 	 469
-0.2616259435 	 0.2976376559 	 0.0205800993 	 0.0205801601 	 470
0.3214621742 	 0.1020666575 	 0.0167765837 	 0.0167766224 	 471
-0.3214621742 	 -0.1020666575 	 -0.0167766970 	 -0.0167767355 	 472
0.7920119106 	 -0.2769307149 	 0.2209199530 	 0.2209199447 	 473
-0.7920119106 	 0.2769307149 	 -0.2209199593 	 -0.2209199510 	 474
-0.9079478554 	 0.0031510647 	 -0.0062066082 	 -0.0062066120 	 475
0.9079478554 	 -0.0031510647 	 0.0062066069 	 0.0062066107 	 476
0.7354657331 	 -0.3289173313 	 0.2463125421 	 0.2463125233 	 477
-0.7354657331 	 0.3289173313 	 -0.2463125548 	 -0.2463125360 	 478
0.4703436824 	 0.3354746546 	 -0.0720321487 	 -0.0720320410 	 479
-0.4703436824 	 -0.3354746546 	 0.0720320664 	 0.0720319588 	 480
0.8707399877 	 -0.2891159291 	 0.2834130243 	 0.2834130312 	 481
-0.8707399877 	 0.2891159291 	 -0.2834130268 	 -0.2834130336 	 482
0.5680191618 	 0.4912038434 	 -0.2916329723 	 -0.2916328949 	 483
-0.5680191618 	 -0.4912038434 	 0.2916330072 	 0.2916329296 	 484
0.7502852627 	 -0.4028122129 	 0.3401386362 	 0.3401386274 	 485
-0.7502852627 	 0.4028122129 	 -0.3401386583 	 -0.3401386494 	 486
0.8191372092 	 -0.4991574095 	 0.5151556862 	 0.5151556887 	 487
-0.8191372092 	 0.4991574095 	 -0.5151556857 	 -0.5151556882 	 488
0.6531185235 	 -0.2336296006 	 0.1158787536 	 0.1158787069 	 489
-0.6531185235 	 0.2336296006 	 -0.1158787334 	 -0.1158786868 	 490
0.5087995593 	 0.4498774490 	 -0.1986247122 	 -0.1986246108 	 491
-0.5087995594 	 -0.4498774490 	 0.1986247226 	 0.1986246211 	 492
-0.7530064143 	 -0.3860193135 	 0.3218579442 	 0.3218579257 	 493
0.7530064143 	 0.3860193135 	 -0.3218579368 	 -0.3218579183 	 494
0.0287115518 	 -0.8506639757 	 0.8783248819 	 0.8783246368 	 495
-0.0287115518 	 0.8506639757 	 -0.8783247452 	 -0.8783245007 	 496
0.0287115518 	 0.8506639758 	 -0.8618520453 	 -0.8618518175 	 497
-0.0287115518 	 -0.8506639758 	 0.8618523001 	 0.8618520718 	 498
0.1736333191 	 -0.3232891631 	 -0.0113326463 	 -0.0113326671 	 499
-0.1736333191 	 0.3232891631 	 0.0113328010 	 0.0113328216 	 500
0.2050006016 	 -0.3747918605 	 -0.0099880546 	 -0.0099881006 	 501
