time = 13.367	Re = 10	rotation = -15.7498
-0.113759	0.202409	3228	
-0.166523	-0.124430	2519	
-0.334835	-0.179227	5078	
-0.347034	-0.180301	6038	
-0.199923	-0.131801	4528	
-0.142447	-0.087137	8629	
-0.145308	-0.092824	8629	
-0.156401	-0.105594	6780	
-0.205095	-0.132514	4528	
-0.293174	-0.162448	2202	
-0.322977	-0.169224	2850	
-0.361489	-0.178380	6998	
-0.355677	-0.174461	6038	
-0.357542	-0.173885	6038	
-0.355516	-0.173063	6038	
-0.357573	-0.173232	6038	
-0.361382	-0.174074	6998	
-0.361925	-0.175331	6998	
-0.363337	-0.178762	6998	
-0.327711	-0.171056	5078	
-0.276604	-0.158149	3928	
-0.168912	-0.113621	3485	
-0.148210	-0.096422	6780	
-0.111354	0.191230	2416	
-0.182633	0.260827	4035	
-0.655216	0.363871	9834	
-0.232362	0.090481	9555	
-0.704173	0.195705	2797	
-0.876265	0.076863	5307	
-0.868555	-0.078601	5387	
-0.879379	-0.014166	8538	
0.195404	0.796048	3008	
-0.897209	0.135345	890	
-0.709004	0.392298	1585	
-0.525801	-0.098809	4964	
0.092282	0.502519	8386	
0.184787	0.368706	4503	
0.392500	0.589818	11030	
0.428811	0.629611	1978	
-0.360274	-0.004654	4262	
-0.619699	0.089454	6702	
-0.854475	-0.290600	6414	
-0.410681	0.691511	6198	
0.103835	0.821171	8845	
-0.296040	0.351607	2575	
0.817026	0.510113	6843	
-0.201361	0.636461	5723	
-0.479158	-0.024308	1356	
-0.088695	0.826556	5531	
-0.191996	0.712701	3375	
-0.822892	0.430840	2006	
-0.068253	0.905062	8106	
-0.774451	0.429267	9275	
-0.792473	-0.030126	8477	
-0.901492	-0.088716	8485	
0.202822	0.809291	4465	
-0.467320	0.323619	9624	
-0.815826	0.306063	6109	
-0.027950	0.798528	5222	
-0.328567	0.142454	6205	
-0.210372	0.582770	1524	
-0.424091	0.339205	3552	
-0.355220	0.347052	1514	
-0.408215	0.175855	1229	
-0.550331	0.534815	2487	
-0.378576	0.138442	2899	
-0.214495	0.071368	2613	
-0.273861	0.077376	724	
-0.517733	0.240877	5784	
-0.603892	0.465472	8221	
-0.249293	0.236686	3843	
-0.422519	0.346861	2990	
-0.242944	0.608134	3808	
-0.409359	0.580227	6578	
-0.032044	0.790409	6352	
-0.721668	0.105432	770	
0.011860	0.826743	9390	
-0.407129	0.612403	2791	
-0.897101	0.165592	10821	
0.146793	0.445108	1291	
-0.145359	0.522350	3139	
-0.489943	0.766345	2690	
-0.859642	0.141808	7482	
-0.473991	-0.117395	3119	
-0.761611	-0.320825	5476	
-0.457481	0.004181	4729	
-0.269177	-0.122641	2379	
-0.395474	0.113083	5238	
-0.331295	-0.075207	8429	
0.621238	0.567498	5033	
-0.624265	0.694695	1453	
-0.485172	0.138727	432	
-0.803916	0.077328	9287	
-0.087632	0.892136	7902	
-0.858041	-0.113243	5253	
-0.848603	-0.121761	3792	
-0.545108	0.689408	8332	
-0.102056	0.617647	6787	
-0.518465	0.565927	9965	
-0.099732	0.107001	5450	
-0.183119	-0.119804	3980	
-0.330092	-0.168196	4381	
-0.466873	-0.199762	6067	
-0.476115	-0.198703	6067	
-0.364768	-0.166306	7019	
-0.297174	-0.151422	2202	
-0.299438	-0.151580	1134	
-0.318841	-0.155673	1791	
-0.369755	-0.165670	8352	
-0.437881	-0.185949	3567	
-0.461960	-0.189649	6067	
-0.488756	-0.193348	6070	
-0.485828	-0.189274	6070	
-0.487650	-0.188052	6070	
-0.486360	-0.187380	6070	
-0.487998	-0.187153	6070	
-0.491029	-0.187726	6070	
