time = 5.002	Re = 1	rotation = -3.16813e-06
0.588914	-0.322063	7721	
-0.748943	-0.302545	2513	
-0.766067	0.505273	8909	
0.316644	-0.071076	4750	
0.611963	0.187764	7409	
-0.409636	-0.515877	9667	
0.421878	-0.648192	6352	
0.400523	0.102763	5238	
-0.130673	0.378305	1196	
0.539025	0.170713	8855	
-0.690894	-0.485964	5507	
-0.319108	-0.912948	2120	
-0.686243	0.606350	8816	
-0.255858	-0.685925	7742	
0.751527	0.009940	10984	
0.053629	-0.887419	7556	
-0.204440	0.404720	462	
0.203197	-0.061777	7378	
-0.548432	-0.733909	1157	
0.607216	-0.309191	5664	
-0.342419	-0.476178	5871	
0.525639	-0.428084	4657	
-0.033646	0.451816	8835	
-0.380063	0.880898	10815	
0.196340	-0.837218	7449	
-0.202042	-0.623114	4208	
-0.283544	0.934703	9169	
0.578268	-0.625467	8531	
0.011219	-0.813412	4684	
0.412385	0.067596	855	
0.095945	0.190111	7322	
-0.239599	-0.694793	1268	
0.415719	-0.579291	618	
-0.145959	-0.507756	3656	
0.273534	-0.447353	6334	
-0.143427	-0.703427	4022	
-0.077407	-0.811708	5515	
-0.506846	-0.347778	7385	
0.018354	-0.513463	3596	
-0.695024	0.558329	6028	
0.526172	-0.526350	4495	
0.342143	-0.442912	10499	
-0.031995	-0.804275	2382	
-0.530014	-0.658813	3692	
-0.487612	0.738690	7795	
0.454948	-0.652387	6302	
0.603133	0.049417	8336	
-0.579044	-0.800170	10098	
0.333378	-0.617988	7581	
-0.472327	-0.604640	10381	
-0.148341	0.378144	3176	
0.755422	-0.150701	865	
-0.466239	-0.675380	5345	
-0.273855	0.249194	6156	
-0.171138	0.266726	6800	
0.138143	0.155781	4801	
-0.411948	-0.458678	5330	
0.037759	-0.828817	5298	
0.141880	0.310623	9904	
-0.017971	-0.856213	7597	
0.354695	0.310565	2943	
0.089986	-0.587572	6378	
0.283611	-0.081200	399	
-0.336310	-0.549117	6991	
0.225130	-0.744413	3172	
0.281240	-0.422316	4838	
-0.853676	-0.031976	10209	
0.236408	-0.116970	1441	
0.400236	-0.736078	2063	
0.386234	-0.606630	5533	
-0.034727	0.159061	4685	
0.099463	0.400343	3465	
0.429742	-0.263054	8812	
0.246754	-0.710678	1744	
0.282013	0.110485	7289	
-0.746836	0.234076	4068	
0.351040	-0.696219	5834	
-0.107248	-0.953625	9509	
-0.888486	0.196392	8858	
-0.385967	-0.630805	4052	
0.235349	-0.717266	1744	
-0.897854	0.151140	8889	
0.279602	-0.092279	595	
-0.924726	-0.054735	6233	
0.096249	0.377722	2175	
-0.976030	-0.072402	5777	
0.428037	-0.489812	3787	
-0.513332	-0.731805	10664	
-0.864690	-0.456366	4611	
-0.599415	-0.384268	7814	
-0.068455	-0.838334	6436	
0.254646	0.393525	3254	
0.073171	-0.861097	7516	
0.094617	-0.935247	9585	
-0.506637	0.846391	6969	
0.360066	-0.773473	1556	
0.229749	-0.624775	427	
-0.211389	-0.742747	2024	
0.460548	0.298332	2831	
-0.011598	-0.761254	5050	
-0.665219	-0.175325	802	
0.334909	-0.667110	4364	
-0.446173	-0.619879	7548	
0.300354	-0.648286	488	
0.516203	-0.394039	6422	
-0.520628	0.706297	7901	
-0.710657	-0.605385	810	
-0.805461	0.113212	9673	
-0.584857	-0.798254	9304	
-0.950591	0.132110	1387	
-0.854831	-0.369903	1007	
-0.857041	0.150117	5138	
-0.095983	-0.528218	4399	
-0.211065	-0.505249	3413	
-0.225738	-0.885266	9839	
0.346216	-0.042843	8639	
-0.771697	-0.121527	942	
0.370736	-0.401061	3730	
-0.639985	0.617090	5209	
-0.764532	-0.281439	5993	
-0.211433	-0.627228	4240	
-0.894130	-0.241822	1155	
0.603546	-0.264427	3005	
0.037604	-0.614681	4859	
-0.431343	-0.451056	8769	
0.016142	-0.676714	4651	
-0.576514	0.727225	6938	
0.667804	-0.465565	1511	
0.123065	0.276202	9088	
-0.648239	-0.339334	5303	
-0.635929	0.702515	8804	
-0.081169	0.361646	4542	
0.264531	0.092176	8230	
-0.833238	-0.462421	9454	
0.600615	-0.538300	7113	
0.457681	-0.244465	5568	
0.067019	-0.761937	2865	
-0.820546	0.486349	9852	
-0.158999	-0.922689	10997	
-0.633755	-0.276880	2726	
-0.737739	0.281498	8831	
0.220209	-0.019607	6103	
0.387092	-0.376156	1920	
0.469948	0.225313	5496	
0.711018	-0.249340	1052	
0.528210	-0.029972	10522	
-0.006880	0.270255	2561	
0.177800	-0.545615	3613	
-0.404459	-0.460150	5330	
0.393245	-0.331362	559	
-0.906419	0.242195	6273	
0.366311	0.237687	7271	
-0.137786	-0.730930	598	
0.639341	-0.471630	9326	
-0.602415	-0.440368	6682	
0.507183	-0.121190	3108	
-0.553801	0.774019	7365	
-0.093299	-0.670726	5594	
-0.536605	-0.337816	8251	
-0.299184	-0.515081	4971	
-0.365098	-0.813589	6374	
-0.744320	-0.195474	4372	
-0.420300	-0.611905	9984	
-0.496345	0.724799	7834	
-0.173245	-0.691761	1490	
-0.663583	0.494242	1903	
-0.294544	-0.563618	9642	
-0.833338	0.193946	8610	
0.286684	-0.736954	4449	
0.395438	0.113038	8556	
-0.309747	-0.808194	7765	
0.427124	0.243407	6394	
0.578531	0.170510	3903	
-0.656831	-0.455536	8727	
0.275234	-0.722374	2436	
0.468804	-0.580372	4587	
0.255432	-0.766280	3150	
0.178399	-0.518409	7506	
-0.682975	-0.446876	5939	
0.467514	0.106371	7431	
0.510595	-0.082229	3658	
-0.269255	-0.835620	6443	
-0.142689	-0.715490	1728	
0.703784	-0.355097	7370	
-0.730264	0.277185	7981	
0.339229	-0.837759	973	
0.161293	-0.670569	6573	
-0.677597	0.629079	9799	
-0.906793	-0.009033	6238	
-0.102764	0.407573	3460	
0.145299	0.072016	6203	
-0.041204	0.260995	787	
0.136243	0.233732	2050	
-0.876384	0.036205	10131	
0.039467	-0.619030	4859	
-0.544406	0.734107	9895	
-0.935717	-0.168776	1227	
0.286321	0.414560	5095	
-0.722671	-0.190335	2076	
-0.781132	-0.256200	6806	
0.263358	-0.825352	6403	
-0.872557	-0.404448	10031	
-0.004535	-0.527356	4547	
-0.228739	0.245146	608	
0.448548	-0.145592	3123	
-0.686444	-0.339841	10064	
-0.039477	-0.575896	5501	
-0.732973	-0.518522	7376	
-0.307749	-0.467448	1721	
-0.955235	0.174417	8174	
0.513439	-0.060856	5190	
0.148683	-0.627905	6153	
0.429401	-0.698580	6693	
0.080154	0.432662	8032	
0.287580	-0.031422	4667	
-0.141085	0.300820	5979	
0.320354	0.162055	3597	
-0.518076	-0.512576	4288	
-0.633252	-0.266527	3106	
-0.665175	-0.690695	10258	
0.370037	0.063093	4029	
-0.622860	0.678786	875	
0.509679	-0.189160	745	
0.538850	0.062759	3834	
0.227806	-0.549039	6809	
-0.220601	-0.538514	5008	
-0.859990	-0.336445	9399	
-0.302751	0.917450	9097	
0.401628	-0.170846	4378	
0.243739	0.190885	7473	
0.175225	0.230474	2003	
-0.090068	0.966328	7647	
-0.338369	-0.757617	8719	
-0.546392	-0.575758	9328	
0.640987	-0.167507	5959	
0.392427	0.324718	1859	
0.147634	-0.923402	429	
0.714837	-0.036361	9948	
-0.736506	-0.641855	6667	
-0.111786	-0.777133	3757	
0.130195	-0.726897	3045	
-0.654765	-0.671137	1888	
0.285361	-0.138821	5915	
0.246386	0.054628	7590	
0.289513	0.216245	6475	
0.313563	0.080888	2401	
0.588223	0.038001	9732	
0.367741	0.361236	4064	
0.352208	-0.777533	1780	
-0.003760	-0.836230	5383	
-0.703343	-0.226277	7306	
-0.418106	-0.615963	9984	
0.355857	-0.741899	8962	
0.278911	0.422572	6984	
-0.845931	-0.358741	499	
0.465856	-0.258714	2362	
-0.806141	-0.038563	1902	
0.286775	0.315483	7270	
-0.215712	-0.888699	9759	
0.283446	-0.852130	6722	
-0.450989	0.818190	9410	
-0.527449	0.801184	759	
0.436015	-0.585396	3424	
-0.253453	0.262049	4526	
0.404474	0.025233	9271	
0.152288	-0.887356	6671	
0.428431	0.209121	3055	
-0.413118	-0.491687	2700	
0.073763	0.389536	1950	
-0.069610	0.108223	4154	
-0.331996	-0.630128	840	
0.569789	0.227002	7266	
0.121880	-0.515047	4655	
-0.092443	0.288032	1317	
-0.000103	-0.784032	4156	
0.023328	0.178235	8259	
-0.387625	0.853817	2984	
-0.815496	-0.098060	1703	
0.357080	-0.106011	3728	
-0.360978	-0.459503	6942	
0.599529	-0.293074	4903	
0.268701	-0.678652	1918	
-0.096922	0.272628	775	
-0.092119	0.343502	9100	
0.059775	0.374413	2810	
0.387962	0.221574	679	
0.035995	-0.953971	9877	
-0.102298	0.402043	3460	
-0.575129	-0.368135	8674	
-0.334285	0.879507	957	
0.499984	0.086143	5634	
0.086091	-0.560312	8699	
-0.786914	0.371000	10641	
-0.790994	-0.546349	10420	
-0.752494	0.509379	8178	
0.213607	-0.859183	7518	
-0.636629	-0.697615	7849	
-0.414455	-0.659314	5771	
0.474541	-0.723509	7833	
-0.336084	-0.824563	523	
-0.209365	-0.926620	10505	
-0.601847	-0.394126	6911	
0.232771	0.192772	6353	
-0.768277	0.342891	10839	
0.506006	-0.024405	9384	
-0.726211	0.646210	5652	
-0.477926	-0.591324	10544	
-0.595306	-0.582450	4077	
0.221278	0.355228	2434	
-0.315020	-0.467251	1721	
0.566636	-0.329853	5763	
-0.197030	-0.944374	9697	
-0.253860	-0.843892	6443	
0.089488	-0.680247	5306	
-0.164413	-0.610334	3352	
-0.152886	-0.882643	6319	
0.067452	0.470856	2051	
-0.575256	-0.566342	10441	
-0.456235	-0.632227	7548	
-0.294528	-0.545460	10736	
0.127809	-0.570830	9974	
0.282454	-0.652389	954	
-0.713170	0.663860	4194	
0.207851	-0.001705	9039	
-0.644701	-0.419713	8238	
-0.456048	0.826595	2579	
-0.628045	-0.323196	5575	
0.074869	0.171750	2275	
-0.445450	-0.791839	1111	
0.386817	-0.547044	1257	
-0.560974	0.761085	10535	
-0.101520	0.394504	3460	
0.749123	0.062219	9301	
0.287017	-0.741578	4449	
0.166774	0.374331	470	
-0.415579	-0.706925	6760	
0.292320	-0.403616	4095	
-0.441038	0.827847	535	
0.400117	0.073151	2899	
0.301198	-0.854914	6581	
-0.939922	-0.143191	10282	
0.101295	-0.938453	9585	
0.541493	-0.551817	1857	
-0.129207	-0.728033	598	
-0.140811	-0.567588	6425	
0.056879	0.301840	7044	
0.640340	-0.342395	2373	
-0.652163	0.743920	5635	
-0.622249	-0.630681	10486	
-0.926233	-0.294576	1198	
-0.010374	-0.757093	5050	
0.337702	0.111022	6098	
0.406757	-0.252263	2526	
-0.804704	0.269295	8446	
-0.036799	0.990817	5947	
-0.308253	-0.555103	5804	
0.241682	-0.127328	8911	
-0.136645	-0.704868	4022	
-0.892791	0.213060	7963	
-0.768565	0.191118	3806	
0.195924	0.106449	1754	
0.131003	0.006743	10354	
-0.895461	-0.005756	1500	
0.464026	0.320594	3079	
-0.819747	-0.314431	7481	
-0.067652	0.203986	3771	
-0.779912	0.363835	10641	
0.465951	-0.652660	6545	
0.201712	0.168911	6870	
-0.648283	-0.302268	9029	
0.325655	0.092567	4431	
-0.454396	0.822742	2579	
0.597525	-0.120162	9064	
0.561466	-0.225759	1244	
0.224438	-0.023999	1436	
-0.301080	0.177354	7087	
-0.039549	-0.964362	9501	
0.046060	-0.501133	2367	
0.583023	0.054783	926	
-0.742813	-0.222717	8434	
-0.269463	-0.680904	8853	
0.626341	-0.129325	2919	
-0.557175	-0.394352	1944	
-0.174270	-0.479909	3230	
-0.690182	-0.367940	10572	
0.290048	0.318588	10677	
-0.081616	-0.726065	418	
-0.786718	-0.280270	8277	
0.505123	-0.345142	9975	
0.168154	0.071672	10049	
0.466253	-0.659632	6545	
-0.366043	-0.812722	6374	
-0.438836	-0.846546	6843	
0.223983	0.413449	5977	
-0.484854	-0.809234	1013	
-0.726402	-0.477588	7457	
0.521437	-0.458719	10001	
0.412433	0.101369	2369	
0.024275	-0.765592	2349	
0.269798	0.137783	9531	
-0.097232	0.362075	1194	
-0.207036	-0.961863	10075	
-0.978428	0.007034	2270	
-0.666874	-0.397370	6053	
0.487520	-0.126016	1962	
0.727161	-0.145337	10125	
0.137297	-0.492750	2071	
-0.750424	0.310186	9745	
-0.006603	-0.875436	8915	
-0.306626	-0.586167	519	
0.245221	0.200495	6258	
0.335694	-0.389343	3082	
-0.538752	-0.273758	2760	
0.329374	0.024244	5655	
-0.770517	0.527735	9253	
0.192671	-0.060113	9083	
0.191073	0.425988	8747	
-0.717645	0.585730	8303	
0.669022	-0.229052	7749	
0.386851	-0.375927	1920	
-0.572452	-0.272351	3163	
-0.176557	-0.488002	5796	
0.666848	-0.267954	8219	
0.556816	-0.441284	10357	
-0.937715	0.254101	1301	
0.420936	-0.509757	4107	
0.397083	0.323320	3886	
0.035858	-0.642189	3653	
0.224512	-0.483199	5315	
-0.728406	-0.624554	810	
-0.642442	-0.664470	7262	
-0.918884	0.210367	8849	
-0.420033	0.858270	1733	
-0.616452	0.643684	8560	
0.644308	-0.354366	2331	
0.388761	0.247144	897	
-0.087046	0.174717	9590	
0.443269	-0.306996	4173	
0.175701	0.452841	755	
0.159190	0.246727	7503	
0.536876	-0.464081	10143	
0.279120	-0.709993	2436	
0.460386	-0.548262	729	
0.207031	-0.529046	6786	
0.600905	-0.537019	7113	
-0.787406	-0.139274	1136	
-0.725898	-0.147890	893	
0.761159	-0.068364	1776	
0.370586	-0.468652	1200	
-0.890795	-0.270117	781	
-0.167626	-0.870032	7689	
0.130544	-0.039402	5185	
0.023895	0.109910	2151	
0.383481	0.080447	5073	
0.573549	-0.528601	6267	
0.298447	0.291360	10079	
0.614759	-0.423156	5394	
-0.221331	-0.835515	7464	
-0.592136	-0.713277	9277	
-0.580052	-0.382514	8754	
-0.786613	-0.385892	5308	
-0.884893	-0.390201	3983	
0.210615	0.116109	1402	
-0.788840	0.433374	8050	
-0.824944	0.424711	10655	
-0.626916	0.604533	3864	
-0.137525	0.147331	3083	
-0.129385	-0.929372	2666	
-0.091270	-0.923457	5925	
-0.209828	-0.480616	4798	
0.419796	-0.433441	7692	
0.089440	-0.701827	8440	
0.329833	-0.027681	6310	
-0.848683	0.334211	8929	
-0.540572	-0.322974	7619	
0.137868	-0.517094	1455	
-0.559186	-0.536882	5731	
-0.299510	0.270866	9962	
-0.498813	-0.618697	678	
0.665633	-0.156896	2783	
0.133888	-0.709900	1715	
0.449941	-0.651987	6302	
0.136541	-0.827256	5155	
-0.877560	0.253741	8888	
-0.320477	-0.768035	8868	
0.301547	-0.048182	2092	
0.056667	0.380785	2810	
0.351642	-0.116788	3728	
-0.395079	-0.432592	10934	
-0.536016	-0.590443	1640	
0.090887	-0.570367	8699	
-0.596323	-0.716425	1059	
0.473925	0.287253	3019	
-0.709830	-0.177211	2798	
0.066740	-0.688387	6533	
0.763700	-0.085577	9202	
0.007853	-0.681553	5389	
0.246064	-0.783231	3008	
0.752081	-0.105600	9146	
0.374818	0.129287	9126	
-0.782067	-0.229096	7838	
0.403181	-0.091161	4229	
-0.316520	-0.551119	5804	
-0.303479	-0.868087	5410	
-0.538914	-0.825114	4221	
-0.145542	0.175415	5201	
0.266782	0.282257	4929	
0.474145	-0.465489	7237	
0.383839	-0.397466	4055	
0.252170	0.189200	7310	
-0.330251	-0.513703	5824	
-0.130038	0.429078	5299	
-0.229949	-0.695218	1268	
0.091390	-0.510579	3942	
0.021231	-0.737056	3299	
-0.819013	-0.428144	10924	
-0.844440	0.047434	2041	
0.761545	0.026908	821	
0.366274	-0.832232	973	
-0.565151	-0.515712	5786	
-0.407029	-0.555384	9805	
0.079286	0.244818	8658	
-0.543104	-0.539701	4236	
0.386867	-0.268656	4433	
0.523278	-0.362084	3206	
0.529183	-0.649402	4202	
0.116745	0.193740	2426	
0.122538	0.012553	8382	
-0.115353	-0.808464	5547	
-0.706664	0.651317	2534	
-0.219590	-0.885470	9839	
0.431138	-0.564477	1343	
-0.617979	-0.376983	7814	
-0.782638	0.339515	10921	
0.313865	0.336209	1176	
0.286865	-0.776110	5826	
0.438386	-0.447868	7239	
0.541905	0.051075	5020	
-0.679773	-0.666409	5142	
0.304511	0.122518	7052	
0.091398	-0.770001	1078	
0.517114	-0.403391	3808	
0.753895	0.018361	433	
0.036064	0.126061	1450	
0.083856	-0.525943	4719	
0.592324	-0.303374	7103	
0.113119	0.252244	8463	
0.431296	-0.467383	3429	
0.666688	-0.409248	8579	
-0.636469	0.617250	5209	
0.445728	0.280708	1069	
-0.947864	0.221625	1666	
0.583059	-0.516148	6267	
0.384150	-0.599207	5533	
-0.057021	0.325572	5412	
-0.678749	-0.479505	9737	
0.132407	0.230685	2050	
0.495609	-0.571014	791	
-0.528917	-0.654638	3692	
0.416894	-0.261233	1287	
-0.149484	-0.968078	6387	
-0.470963	-0.793346	1013	
-0.062752	0.458999	4367	
0.566443	-0.503997	5458	
-0.785214	0.560754	10636	
-0.819532	-0.434519	10924	
-0.423040	-0.503536	3644	
0.085474	-0.771077	670	
-0.043922	-0.661451	4818	
0.703151	-0.266852	7767	
0.245452	-0.459556	935	
0.758479	-0.000224	10602	
-0.128894	-0.580712	1737	
-0.676032	0.590886	6062	
-0.960121	0.044576	5282	
0.338266	-0.469184	9828	
-0.075729	-0.560873	8129	
-0.885051	0.254336	8888	
0.432214	-0.594663	3424	
0.168441	0.410222	5869	
-0.381300	0.891007	10815	
0.274899	0.262066	9362	
0.647375	-0.062284	402	
-0.309200	0.330935	5649	
-0.705202	-0.496454	6508	
-0.860522	-0.011649	10231	
-0.275503	0.231592	5806	
-0.780934	-0.294825	8277	
-0.124849	-0.492118	1573	
0.432111	0.306246	2122	
-0.858904	-0.173232	6110	
-0.016660	-0.920608	5903	
-0.570259	-0.755981	1763	
-0.010073	-0.662714	4706	
-0.264967	0.257898	6179	
0.035384	0.435451	8159	
0.616398	-0.228533	2045	
-0.025903	-0.786284	2382	
0.425153	-0.177864	2215	
0.459410	-0.462022	7237	
0.506665	-0.020791	9384	
-0.155735	-0.479299	3988	
-0.220770	-0.632340	4240	
-0.307435	-0.523440	7279	
0.380589	0.142996	10583	
0.131076	-0.586710	1908	
0.187901	0.118426	3784	
-0.532030	-0.490658	4680	
0.421208	-0.355084	3977	
-0.195452	-0.779277	2011	
-0.187901	-0.533798	4252	
-0.927485	-0.111337	545	
0.625282	-0.257417	7761	
0.432058	-0.067666	2880	
0.399711	-0.374803	3397	
0.315765	0.407996	5076	
-0.263741	0.190875	8488	
-0.324058	0.920608	9097	
-0.130442	0.413804	4477	
0.501147	-0.339091	9975	
-0.910730	0.210162	8849	
0.400676	-0.698527	8920	
-0.882911	0.288495	8451	
0.151625	-0.019681	4763	
-0.513954	-0.746063	1065	
0.503315	-0.539131	3720	
0.278625	0.276249	9893	
0.063914	-0.833533	5233	
0.415184	0.297110	2782	
0.476742	-0.539197	879	
-0.748329	0.375675	3442	
-0.821234	0.249212	8992	
-0.882364	-0.165532	9491	
-0.845536	0.334222	8929	
0.364386	-0.644076	6890	
0.765666	-0.006522	9728	
-0.283671	-0.640452	3936	
-0.247404	0.908680	10102	
