time = 5.001	Re = 1	rotation = 4.40096e-10
0.431443	0.780764	2338	
-0.298468	0.929248	3354	
-0.441259	-0.565729	1143	
0.709427	0.412263	2083	
-0.584606	0.087732	2664	
0.044866	0.691649	3439	
0.372734	0.776230	981	
-0.733674	0.577668	3296	
0.903012	0.393959	1305	
0.339187	0.776302	787	
0.254405	0.451268	1863	
0.634734	-0.462613	2255	
0.046570	0.699754	363	
0.718361	-0.337752	1631	
-0.689492	-0.279620	1325	
0.485368	-0.561086	1009	
0.120728	-0.734894	525	
-0.591054	-0.231472	2263	
0.421280	0.104271	1804	
0.406711	-0.776741	1997	
0.055431	0.940512	3495	
-0.134793	-0.777873	1255	
0.570355	0.772111	3112	
0.349262	0.876292	514	
0.710481	-0.473166	2525	
0.450489	0.255583	856	
0.267416	0.528288	1441	
-0.233632	0.878586	2755	
0.097594	-0.211450	2020	
-0.405709	-0.630638	1573	
-0.176865	-0.273778	314	
0.750168	-0.509392	2604	
0.471229	-0.651790	1872	
-0.500953	0.335963	977	
0.598218	0.717797	3406	
-0.082718	0.684668	483	
0.354460	0.363393	1694	
-0.616807	0.193403	771	
-0.353496	0.488293	1501	
0.905736	-0.203349	1915	
0.601815	0.482969	2243	
-0.375978	0.382166	1275	
-0.277137	-0.690679	748	
0.940520	0.090330	3168	
0.248103	0.192339	396	
-0.134596	0.606750	2961	
-0.028801	0.957124	3422	
0.666951	0.383592	1810	
-0.135500	-0.198861	599	
0.692967	-0.361542	1800	
0.848106	0.433072	507	
0.395052	0.018724	2344	
-0.552223	0.746107	3494	
-0.591396	-0.413456	974	
-0.284009	-0.733758	1656	
0.201178	-0.245297	3165	
-0.209203	-0.228559	1206	
-0.137191	-0.597353	515	
0.663211	-0.223947	3123	
-0.053982	0.980528	2402	
0.345118	0.256727	710	
0.206776	0.329173	1642	
0.380142	-0.218126	2067	
-0.543806	0.321769	2185	
-0.242193	-0.146644	3032	
0.814814	0.460778	2925	
-0.154524	-0.610029	515	
-0.076404	-0.715662	724	
0.708789	0.252209	2994	
0.057631	-0.774202	3393	
-0.038775	-0.256021	3055	
0.948429	0.043255	470	
-0.455850	0.374212	2307	
-0.694219	-0.099275	885	
-0.302767	0.546396	740	
0.329055	0.830943	1077	
-0.205220	-0.737508	1496	
0.007214	-0.757017	1395	
0.382994	-0.788105	2385	
-0.600925	-0.243751	1938	
-0.011158	-0.824704	405	
-0.473537	0.387332	1625	
0.656858	-0.553757	1989	
0.755995	-0.102952	1170	
-0.485709	-0.393624	725	
0.610445	0.598036	3031	
-0.227671	-0.561490	774	
0.122271	-0.622308	3340	
0.444627	-0.643469	1543	
0.762050	-0.165819	2474	
0.695598	-0.316474	1291	
0.767854	0.122911	2077	
0.259688	-0.333014	299	
0.619740	-0.511598	1998	
-0.327825	-0.550399	1065	
0.051578	-0.304409	651	
0.444296	0.750577	1007	
-0.322798	-0.626224	915	
0.718570	0.133531	1869	
-0.383893	-0.678458	1892	
-0.498843	0.729115	2129	
-0.340296	0.488802	1501	
0.911854	-0.129365	3408	
0.882499	0.001110	2418	
0.189770	0.198637	3464	
0.372987	0.057151	1349	
0.270682	0.249960	2035	
-0.389966	0.377734	1650	
0.681604	-0.495579	1789	
0.336852	0.385419	1684	
0.844236	-0.377581	619	
0.386062	0.876054	3095	
-0.442475	-0.592682	1143	
0.499085	-0.635965	2084	
0.191838	0.856443	3436	
-0.067759	0.961915	709	
0.485615	-0.019872	1208	
0.260124	-0.044523	522	
0.234431	-0.766291	1644	
0.408793	0.306307	1324	
0.513130	0.759214	3029	
-0.124514	0.693947	2886	
0.238758	-0.259899	1304	
0.324602	0.379678	1391	
0.639433	0.473792	2401	
0.108084	0.342591	225	
0.108818	-0.217164	454	
0.310059	0.080048	966	
-0.501530	-0.343404	2291	
-0.233003	-0.698273	1449	
-0.602915	-0.410907	1819	
-0.372126	0.879511	2746	
-0.292990	0.477148	1672	
0.893285	-0.225611	744	
-0.087953	-0.239699	432	
-0.371819	-0.534476	910	
0.386569	-0.195153	1748	
0.113299	0.697465	2768	
0.112241	0.611928	921	
0.476111	0.808593	3376	
0.965362	-0.042771	3134	
-0.568181	-0.179275	1904	
-0.574330	0.035982	2519	
0.951083	-0.207551	271	
0.771464	0.360249	2240	
0.471745	-0.614376	1350	
-0.579871	0.129469	2565	
-0.502126	0.162396	1178	
-0.716722	0.588814	3237	
0.019672	-0.697081	1002	
-0.481284	0.847508	3269	
0.808441	-0.087540	2280	
0.040948	-0.711587	1205	
-0.111549	0.934147	796	
0.360456	0.182048	1751	
-0.425576	-0.435283	849	
-0.237950	0.516797	934	
-0.342269	-0.569215	1084	
0.337712	0.777826	787	
0.717504	0.385188	1788	
-0.413549	-0.611903	1162	
0.037342	-0.757728	1733	
0.653321	0.462716	2088	
0.491692	0.795901	3376	
-0.156849	-0.198029	599	
-0.458230	-0.596022	1362	
-0.464856	-0.352980	1967	
-0.255860	0.871674	2789	
-0.389003	0.785801	2653	
0.902294	-0.260584	3106	
0.951798	0.103341	3168	
0.291763	-0.656097	887	
0.251978	0.009696	320	
0.323724	0.274014	809	
-0.338431	0.816380	3235	
-0.068707	-0.629870	348	
-0.653318	0.080364	1176	
0.137784	-0.274249	338	
0.111418	0.422331	1613	
-0.549757	-0.384652	1246	
-0.480833	0.200280	1047	
0.315916	-0.305270	2458	
0.301050	0.166800	1067	
0.802591	-0.080066	1623	
0.355455	0.099640	903	
0.898998	-0.287107	3492	
0.099448	-0.796030	523	
-0.430345	0.477722	2741	
-0.479166	0.323790	995	
-0.039048	-0.703821	1044	
0.316001	0.138165	1073	
0.266108	0.180148	3037	
0.115309	0.428284	1613	
-0.090437	-0.630259	816	
-0.823620	0.477007	222	
0.203488	0.189722	540	
-0.603512	-0.359659	1996	
0.895131	-0.309879	3386	
-0.370468	-0.523635	910	
0.465021	-0.046288	2011	
0.743855	-0.467796	2586	
-0.228677	0.931671	270	
0.883922	-0.193355	1721	
-0.155898	0.872173	3263	
-0.236867	0.911688	496	
0.363894	-0.662133	1399	
0.046502	0.878601	605	
0.319661	0.834049	1077	
-0.655149	0.681502	350	
-0.367323	-0.627389	1161	
-0.567428	-0.204209	2326	
0.525422	-0.689525	2486	
0.347475	0.250718	710	
0.839742	0.487137	2812	
0.125650	-0.743609	2980	
0.848885	0.055358	2065	
-0.499287	0.191317	1047	
-0.166947	0.655152	3334	
0.343284	-0.140818	1599	
0.284666	0.376575	1467	
-0.788309	0.552557	2829	
0.385415	0.790220	981	
-0.360073	0.473773	1008	
-0.208206	0.594424	2660	
0.009389	0.910227	602	
0.647860	-0.468631	1757	
0.325658	-0.680077	1435	
-0.462785	0.436428	2393	
0.459211	-0.038157	2517	
-0.612103	0.002039	598	
0.838565	0.493692	2812	
0.279011	-0.194866	1171	
0.292324	-0.737028	1638	
0.933512	-0.146329	3241	
-0.507440	-0.505810	1168	
0.275208	0.290213	623	
0.118542	0.913575	2679	
0.300523	0.377768	1391	
0.942766	-0.022093	502	
0.219895	0.179118	396	
0.412930	-0.519315	1115	
0.763587	-0.045444	1254	
-0.249808	0.474007	2017	
0.813447	0.275965	2987	
-0.228758	-0.252028	1524	
0.913769	-0.228281	744	
-0.594562	-0.015474	608	
-0.504110	0.729745	2129	
0.428017	0.854591	2399	
