time = 24.217	Re = 4	rotation = -37.1212
-0.113984	0.286634	5563	
-0.121470	0.308559	9858	
-0.126073	0.305476	9858	
-0.128483	0.303954	9858	
-0.137303	0.313406	10174	
-0.143611	0.330214	5409	
-0.149700	0.346315	6060	
-0.164272	0.357524	6595	
-0.170689	0.383695	9172	
-0.177084	0.392982	9675	
-0.186052	0.431900	4272	
-0.180219	0.464371	8099	
-0.184256	0.484796	8326	
-0.173253	0.513170	5223	
-0.180391	0.541687	6344	
-0.207148	0.570585	1008	
-0.247971	0.584434	2437	
-0.302075	0.581777	6046	
-0.448923	0.531959	4259	
-0.659769	0.342512	8116	
-0.706784	0.263490	4056	
-0.736225	0.204885	3152	
-0.785821	0.062776	3195	
-0.801237	-0.029080	2002	
-0.806194	-0.048194	2002	
-0.810313	-0.076294	7573	
-0.811202	-0.165046	5279	
-0.821841	-0.189671	6747	
-0.844059	-0.190356	3992	
-0.899372	-0.146282	6119	
-0.910691	-0.126711	3837	
-0.926392	-0.098616	8215	
-0.924812	-0.098498	8215	
-0.922877	-0.102097	8215	
-0.926212	-0.096456	8215	
-0.937014	-0.072593	477	
-0.948416	-0.041024	9787	
-0.948654	-0.036668	9603	
-0.950725	-0.027794	9603	
-0.952441	-0.018003	8500	
-0.955133	-0.007258	8500	
-0.955579	-0.005577	8500	
-0.950771	-0.026911	9603	
-0.948749	-0.035662	9603	
-0.948680	-0.040538	9787	
-0.934643	-0.080401	477	
-0.913504	-0.125199	3837	
-0.891281	-0.155940	6119	
-0.870576	-0.176113	5078	
-0.849985	-0.194351	4451	
-0.834807	-0.181780	3992	
-0.817562	-0.162825	3772	
-0.811442	-0.147738	3566	
-0.809353	-0.102697	6305	
-0.805660	-0.082793	7573	
-0.800125	-0.000246	6198	
-0.784993	0.069717	3195	
-0.758533	0.148916	2073	
-0.669510	0.331345	4400	
-0.603117	0.414606	1150	
-0.544664	0.469498	6995	
-0.354920	0.571342	5297	
-0.214628	0.583701	1634	
-0.170848	0.533337	5985	
-0.159824	0.474982	876	
-0.160590	0.420405	3481	
-0.142782	0.421884	3001	
-0.147652	0.422540	3001	
-0.160178	0.428725	4275	
-0.164354	0.443279	5672	
-0.165931	0.441713	4275	
-0.168868	0.432252	3481	
-0.171429	0.432934	3481	
-0.170587	0.404070	2430	
-0.161795	0.388072	9172	
-0.157677	0.371635	7815	
-0.151607	0.361681	7658	
-0.147096	0.364801	7658	
-0.142200	0.369270	9959	
-0.141496	0.347630	6060	
-0.133188	0.335152	5362	
-0.131182	0.364989	7873	
-0.130899	0.369402	7873	
-0.130606	0.369421	7873	
-0.130297	0.359423	7873	
-0.128832	0.341835	5362	
-0.128388	0.338329	5362	
-0.127417	0.331263	7812	
-0.127501	0.330438	7812	
-0.127569	0.330601	7812	
-0.127920	0.332517	5362	
-0.128137	0.333390	5362	
-0.128133	0.333528	5362	
-0.128710	0.336171	5362	
-0.129282	0.339085	5362	
-0.129828	0.345237	5362	
-0.130501	0.351305	6100	
-0.130844	0.351798	7357	
-0.131212	0.351548	7873	
-0.132267	0.333744	5362	
-0.141323	0.345567	6060	
-0.142141	0.365657	7632	
-0.148062	0.362413	7658	
-0.151138	0.360612	7658	
-0.157325	0.368676	7815	
-0.158315	0.384595	9172	
-0.159145	0.399947	9134	
-0.171118	0.409066	2430	
-0.169665	0.434740	3481	
-0.173714	0.443108	7025	
-0.173074	0.481760	7777	
-0.164401	0.512989	1300	
-0.171596	0.531569	5985	
-0.169153	0.556438	7196	
-0.200551	0.577195	1008	
-0.278694	0.585282	6584	
-0.369392	0.567589	5980	
-0.454068	0.530576	4259	
-0.596642	0.422048	1012	
-0.724386	0.231290	4141	
-0.748459	0.180972	2954	
-0.768624	0.128778	8606	
-0.800535	0.009022	8780	
-0.807429	-0.064413	8006	
-0.812167	-0.083082	7573	
-0.816262	-0.112372	6153	
