time = 50,Re = 1
-0.434298,0.832265,5224
-0.950752,0.089917,5900
-0.616604,-0.753501,5979
0.234772,0.628321,960
0.185878,0.670132,5023
0.017211,0.760163,1147
-0.230151,0.638778,4800
-0.438757,0.458092,1873
-0.597527,0.214019,4643
-0.627463,-0.133873,1346
-0.425549,-0.489113,3046
0.002522,-0.655301,3999
0.488086,-0.450102,2252
0.667561,0.076281,2802
0.376385,0.582069,4794
-0.418526,0.560747,5165
-0.700964,-0.056425,1281
-0.283292,-0.657716,1453
0.446916,-0.574795,1661
0.725831,0.1459,6231
0.0664,0.818835,1649
-0.726336,0.254325,5361
-0.524683,-0.584271,3655
0.339317,-0.72484,3990
0.815078,0.033415,4559
0.24219,0.817316,6357
-0.74331,0.409803,6447
-0.676146,-0.542241,4937
0.209529,-0.858404,3167
0.886428,-0.165206,3963
0.533045,0.751043,4676
-0.528643,0.776668,6417
-0.955891,-0.046124,783
-0.482899,-0.848481,6299
0.126865,-0.58592,4653
0.189322,-0.569531,707
0.301713,-0.520536,873
0.445129,-0.408202,5493
0.579439,-0.182661,4082
0.598427,0.11976,710
0.432485,0.441177,3897
0.001344,0.760037,1147
-0.485577,0.40312,5110
-0.633876,-0.083121,6112
-0.315181,-0.567469,3289
0.315387,-0.579132,3331
0.669768,-0.012244,2165
0.354714,0.599031,4972
-0.518547,0.461527,4548
-0.629128,-0.324222,4766
0.053925,-0.718778,5811
0.697709,-0.228146,2230
0.416238,0.633683,404
-0.596133,0.479628,4519
-0.663694,-0.410896,5508
0.203403,-0.771024,4952
0.809305,-0.078612,4622
0.296728,0.792028,2832
-0.738864,0.416274,4807
-0.653401,-0.569439,2651
0.283346,-0.837746,3813
0.90154,-0.05276,4770
0.413141,0.826379,5940
-0.661012,0.670477,6430
-0.92797,-0.247538,5518
-0.278521,-0.939754,6432
-0.32907,0.482188,1613
-0.370913,0.442969,5080
-0.450071,0.355333,1878
-0.544454,0.18842,3343
-0.576461,-0.084137,4512
-0.438683,-0.391585,4020
-0.089047,-0.587227,3488
0.358062,-0.482469,854
0.604972,-0.054816,698
0.421497,0.451409,4238
-0.258043,0.612983,833
-0.632563,0.062131,1530
-0.338284,-0.552586,3322
0.387442,-0.534223,2782
0.645307,0.185583,5913
-0.032683,0.786442,1255
-0.692217,0.096129,5373
-0.262956,-0.665046,1554
0.570086,-0.455077,3510
0.589396,0.455942,1991
-0.478662,0.597509,5677
-0.714288,-0.308239,2592
0.159533,-0.780087,5275
0.80763,-0.087837,4675
0.257298,0.809821,6357
-0.774714,0.346802,6117
-0.570588,-0.654356,4419
0.42293,-0.778975,3003
0.895579,0.136085,2972
0.18499,0.913519,5672
-0.807232,0.491437,1583
-0.82743,-0.497086,6650
-0.00106,-0.985362,6002
0.345077,-0.427384,3185
0.393238,-0.384209,2435
0.481696,-0.267591,6169
0.551871,-0.032334,3124
0.493916,0.247838,3344
0.280153,0.504318,1017
-0.150686,0.641157,1596
-0.515808,0.249857,2257
-0.509563,-0.287471,2640
-0.00961,-0.593869,2878
0.531427,-0.285725,3715
0.462128,0.403681,4380
-0.280474,0.593705,1695
-0.632019,-0.086063,6112
-0.081859,-0.64631,5896
0.630646,-0.213583,537
0.3935,0.564219,4981
-0.587996,0.366977,5757
-0.468149,-0.534427,1369
0.443152,-0.575049,1498
0.6619,0.333828,933
-0.429941,0.635614,5116
-0.718427,-0.296335,2572
0.193784,-0.772279,5148
0.813079,-0.007161,4133
0.100834,0.860249,3341
-0.831936,0.181881,1818
-0.419108,-0.763145,2953
0.608293,-0.64925,2558
0.813936,0.408478,2518
-0.167913,0.921322,370
-0.928022,0.205372,384
-0.6269,-0.741346,893
0.328317,-0.935967,2679
0.052082,0.694943,982
0.035683,0.696118,6543
0.009043,0.704956,5685
-0.21008,0.510495,4734
-0.527895,0.062225,2097
-0.340495,-0.418595,3424
0.192965,-0.510147,2984
0.546208,-0.072747,3623
0.335669,0.450806,2020
-0.252153,0.542252,4913
-0.574304,-0.080139,4512
-0.06605,-0.588419,4363
0.567832,-0.204955,4606
0.344627,0.524699,2023
-0.522796,0.348481,2801
-0.433769,-0.476773,5744
0.43598,-0.494835,2739
0.547019,0.393476,3275
-0.465918,0.513752,5687
-0.550646,-0.445025,1231
0.387823,-0.611867,1421
0.66761,0.320468,933
-0.459065,0.612271,4987
-0.683085,-0.372375,3922
0.304201,-0.737104,4442
0.797058,0.173066,5274
-0.19289,0.838213,1072
-0.853163,-0.06065,4651
-0.178355,-0.855889,2509
0.805244,-0.391089,5086
0.618172,0.676436,3436
-0.51845,0.780182,6857
-0.944182,-0.15417,1490
-0.295462,-0.932244,2674
-0.269464,-0.029814,6463
-0.269012,-0.022654,6461
-0.264935,-0.027886,6461
-0.246916,-0.07641,389
-0.167471,-0.181591,6904
0.182442,-0.137665,4402
0.051763,0.697549,982
-0.209836,0.509667,4734
-0.369703,-0.391304,2758
0.418253,-0.353768,1838
0.40996,0.370796,2823
-0.265871,0.529239,4946
-0.523777,-0.255463,2855
0.231461,-0.549129,851
0.574397,0.195903,5921
-0.278042,0.593973,1695
-0.588409,-0.250097,4874
0.256144,-0.603221,2970
0.611761,0.274834,5433
-0.408055,0.565152,4194
-0.561581,-0.429654,2259
0.418037,-0.591667,1568
0.627638,0.394663,442
-0.555616,0.522283,2978
-0.578549,-0.524097,3111
0.490487,-0.632409,3911
0.70168,0.4236,4367
-0.498512,0.679292,4444
-0.775986,-0.371419,1983
0.191278,-0.859459,3182
0.900986,-0.025055,4498
0.270641,0.886732,5066
-0.810207,0.483539,5572
-0.786631,-0.558877,735
-0.235186,-0.209105,552
-0.252104,-0.186855,297
-0.275816,-0.142744,6516
-0.294107,-0.083747,1603
-0.298737,-0.015475,2110
-0.287268,0.04217,761
-0.271825,0.055008,6766
-0.252778,-0.047804,4216
0.167669,-0.155654,5954
0.035739,0.700379,6543
-0.441751,-0.304605,1215
0.474757,-0.27395,6224
0.264929,0.513862,1239
-0.538387,0.193988,3343
-0.143038,-0.572036,5684
0.598724,-0.079044,980
-0.035804,0.755686,1630
-0.625731,-0.115795,6089
0.18413,-0.627291,937
0.619172,0.255447,4193
-0.434814,0.541182,5247
-0.503455,-0.497806,5335
0.522051,-0.504506,3783
0.493566,0.56199,633
-0.690127,0.328917,6451
-0.348536,-0.703696,3907
0.690158,-0.41346,3316
0.455047,0.693884,1871
-0.744747,0.40055,6447
-0.520705,-0.693402,2436
0.573962,-0.676759,3097
0.799946,0.43277,4145
-0.28947,0.88819,6658
-0.951061,0.039091,692
-0.436043,-0.870533,6305
0.171239,-0.304443,3529
0.142631,-0.317665,3253
0.088875,-0.334083,3027
0.005986,-0.341193,2206
-0.10192,-0.318511,2248
-0.207675,-0.251837,2130
-0.287144,-0.131472,281
-0.30407,0.003017,6590
-0.277069,0.085475,617
-0.262666,0.039149,1134
0.10904,-0.204099,1211
-0.096594,0.631201,6540
-0.07058,-0.53598,2942
0.501165,0.224339,4520
-0.299121,0.498753,2900
-0.355656,-0.465355,1216
0.554205,-0.233676,3834
0.118568,0.718724,5642
-0.630298,-0.075894,6112
0.218068,-0.616316,643
0.579624,0.337322,4234
-0.53687,0.43377,2190
-0.352679,-0.616754,1389
0.663122,-0.303858,846
0.200532,0.768588,5648
-0.769896,0.010601,2821
0.025784,-0.791025,3628
0.8094,-0.040577,4542
-0.059931,0.866358,5427
-0.852331,-0.043145,3446
-0.107817,-0.867308,2499
0.859581,-0.253548,5624
0.440769,0.80745,5251
-0.733014,0.588603,4680
-0.835346,-0.476716,540
0.387413,-0.053364,5718
0.3834,-0.058182,5728
0.37448,-0.07607,5477
0.34811,-0.136968,3451
0.292172,-0.219596,556
0.196223,-0.29963,480
0.044354,-0.345228,2105
-0.134709,-0.307821,2936
-0.273761,-0.170448,332
-0.307239,0.012974,6590
-0.267418,0.113266,424
-0.25751,-0.003791,1091
,,4274
-0.481407,-0.233033,2168
0.544096,-0.069721,3144
-0.195452,0.59147,875
-0.435996,-0.387733,4020
0.543175,-0.256428,3547
0.054133,0.750832,391
-0.609001,-0.185378,3613
