time = 250	Re = 1	rotation = 39.7886
-0.480526	0.142723	6855	
-0.162575	-0.412995	5816	
0.119563	0.739084	6477	
-0.057791	0.109867	4622	
0.310297	0.678645	7511	
0.573287	-0.287917	3337	
-0.476734	-0.606073	4792	
0.712246	-0.341488	5659	
-0.907062	-0.314859	946	
-0.067230	0.905418	9465	
0.543775	0.474434	4966	
0.164731	0.728580	8773	
0.192392	0.884532	7419	
0.133440	0.133952	10126	
-0.917961	0.067701	2231	
-0.544152	0.211780	10338	
-0.507763	-0.836682	9153	
0.278301	0.350411	7586	
0.362502	0.818813	6417	
-0.087085	-0.975207	4228	
0.445716	0.568359	8044	
0.485806	-0.685656	6079	
-0.645950	0.191003	8441	
-0.460286	-0.227403	3792	
-0.852014	0.175391	9925	
0.401877	0.846716	4085	
-0.692888	-0.702292	10797	
0.467774	0.704461	5611	
0.462885	0.266517	8465	
-0.780061	-0.185918	7480	
0.652746	-0.012155	10411	
-0.788235	-0.151575	10044	
-0.604477	-0.336363	4911	
0.277024	-0.684386	11237	
-0.256286	0.711231	9297	
0.142820	0.628181	9427	
-0.155463	0.425778	9028	
-0.369742	0.790073	8962	
0.931624	-0.107920	1269	
0.780784	-0.180131	1971	
0.986851	-0.071868	10873	
-0.232859	0.930945	11382	
0.842474	-0.411601	10053	
0.347444	0.787548	6052	
0.486321	0.067246	10223	
0.390162	-0.348320	8390	
-0.632606	-0.660323	5463	
-0.010032	0.221928	9657	
0.518582	-0.550258	8279	
-0.050551	0.106548	6566	
-0.302501	-0.832118	7536	
0.824743	0.034047	8714	
-0.289161	0.543656	966	
-0.164835	-0.911728	915	
0.142219	0.525497	4178	
-0.054195	0.483695	1969	
0.656576	-0.190512	8576	
0.287168	-0.513757	5836	
-0.883506	-0.282826	9314	
0.411401	0.691790	2041	
-0.271196	-0.461935	6716	
0.307428	-0.678994	7219	
0.931127	-0.186141	433	
0.102462	-0.379538	2400	
0.054309	-0.535149	2352	
-0.334992	0.894226	940	
0.623665	-0.511824	10092	
-0.066983	0.143923	3140	
0.776488	-0.176439	1971	
0.563407	0.771328	10200	
0.462387	0.116658	8098	
0.769620	0.532775	9690	
-0.421138	0.573255	6982	
0.710572	-0.362096	5581	
-0.221770	0.277496	6593	
0.219118	0.038665	1636	
0.581748	0.292796	3245	
-0.385130	0.644578	7260	
0.172085	-0.443323	1255	
-0.302436	-0.355014	10148	
-0.451786	0.224360	8629	
0.506333	0.346009	1093	
0.336083	0.042188	1261	
0.643208	-0.682885	7687	
-0.068710	0.616500	763	
0.489416	0.527644	6122	
-0.620349	-0.487816	5994	
0.500128	0.560576	7247	
0.046724	0.251325	5780	
0.941369	0.146311	10711	
0.632386	0.108246	9251	
0.175004	0.624101	9222	
-0.298671	-0.469166	7436	
0.595465	0.664758	484	
-0.378984	0.661186	7308	
-0.326864	0.651808	7844	
-0.436461	0.756502	4922	
0.477669	-0.486119	1174	
0.761772	0.314980	3542	
0.662331	-0.064047	6271	
0.653058	-0.550843	9398	
0.012408	0.777429	10716	
0.097216	-0.626701	2288	
-0.870125	-0.048738	8681	
-0.661867	0.178375	8126	
-0.575226	0.397667	8168	
-0.162350	-0.784371	5960	
-0.643619	-0.408475	6689	
0.189151	-0.710753	6408	
0.357536	-0.715374	7090	
0.184367	0.280627	4649	
0.282237	0.766976	6466	
-0.481504	-0.445512	9708	
0.475451	-0.138932	6856	
0.221951	-0.847683	7555	
0.613265	-0.374427	11041	
-0.664248	0.435225	1403	
-0.263228	-0.725748	6475	
-0.777840	0.458066	1462	
-0.156627	-0.550268	5542	
-0.916525	-0.131802	671	
