Time	U_x	U_y	P	Max.Res.
0.123	-0.0265596006	0.01947264237	30.72639681	0.7273046022
0.124	-0.02707051667	0.01997734026	30.97668749	0.7150259527
0.125	-0.02758406749	0.02048647982	31.22697499	0.9255638515
0.126	-0.02810022662	0.02100000549	31.4772591	4.863070536
0.127	-0.02861896307	0.02151785375	31.72753956	0.8081987708
0.128	-0.02914024219	0.02203995344	31.97781612	1.297480497
0.129	-0.02966402523	0.02256622649	32.22808853	0.4135271145
0.13	-0.03019026955	0.02309658836	32.47835651	0.6143898698
0.131	-0.03071892889	0.02363094857	32.72861981	1.272271842
0.132	-0.03124995357	0.02416921123	32.97887814	0.341144204
0.133	-0.03178329078	0.0247112755	33.22913125	0.5599010938
0.134	-0.03231888484	0.0252570362	33.47937885	0.6109222597
0.135	-0.03285667744	0.02580638422	33.72962068	1.291519522
0.136	-0.03339660789	0.02635920709	33.97985648	4.006089594
0.137	-0.03393861337	0.02691538947	34.23008598	3.994114073
0.138	-0.03448262918	0.02747481358	34.48030892	2.503748646
0.139	-0.035028589	0.0280373597	34.73052506	0.673778083
0.14	-0.03557642508	0.02860290671	34.98073415	1.561887044
0.141	-0.03612606847	0.02917133261	35.23093597	0.8519904353
0.142	-0.03667744933	0.02974251485	35.48113029	4.689899853
0.143	-0.03723049713	0.03031633084	35.73131689	2.342859286
0.144	-0.03778514088	0.03089265832	35.98149558	0.5888158114
0.145	-0.03834130937	0.03147137574	36.23166615	0.9522187508
0.146	-0.03889893138	0.0320523627	36.48182843	1.113592176
0.147	-0.03945793587	0.03263550025	36.73198225	7.054588889
0.148	-0.04001825224	0.03322067131	36.98212743	1.055475815
0.149	-0.0405798105	0.03380776098	37.23226384	2.316163182
0.15	-0.04114254157	0.03439665691	37.48239134	0.7196530426
0.151	-0.04170637747	0.03498724957	37.7325098	1.682481244
0.152	-0.04227125155	0.03557943259	37.98261912	2.149215168
0.153	-0.04283709887	0.03617310333	38.23271919	0.7130576584
0.154	-0.04340385741	0.03676816514	38.48280994	0.5776021655
0.155	-0.04397146622	0.03736452359	38.73289129	0.6349154295
0.156	-0.04453986588	0.03796208805	38.98296318	0.4935628978
0.157	-0.04510899911	0.03856077252	39.23302556	0.657627135
0.158	-0.04567881128	0.03916049593	39.48307841	2.024660781
0.159	-0.04624925066	0.03976118227	39.73312174	0.4672975465
0.16	-0.04682026877	0.04036276066	39.98315558	0.8721211196
0.161	-0.04739182054	0.04096516539	40.23317997	3.574803894
0.162	-0.04796386454	0.04156833601	40.483195	1.165114081
0.163	-0.04853636315	0.04217221739	40.73320074	2.092406939
0.164	-0.04910928269	0.04277675983	40.98319733	0.872934695
0.165	-0.04968259361	0.04338191909	41.23318491	0.7983966781
0.166	-0.05025627056	0.04398765646	41.48316363	2.077219844
0.167	-0.05083029263	0.04459393894	41.73313368	2.316628322
0.168	-0.05140464335	0.04520073902	41.98309526	5.096413472
0.169	-0.0519793107	0.04580803464	42.23304862	1.918343874
0.17	-0.05255428725	0.0464158092	42.48299401	2.143859772
0.171	-0.05312957012	0.04702405141	42.73293169	7.633794697
0.172	-0.05370516102	0.04763275526	42.98286198	2.734123106
0.173	-0.05428106623	0.04824191986	43.2327852	5.819271924
0.174	-0.05485729652	0.04885154926	43.48270168	1.505489914
0.175	-0.05543386709	0.04946165228	43.73261179	67.5069748
0.176	-0.05601079745	0.05007224228	43.98251592	1.479146746
0.177	-0.05658811127	0.05068333692	44.23241446	3.043685158
0.178	-0.05716583622	0.05129495788	44.48230783	1.23070669
0.179	-0.05774400373	0.05190713061	44.73219646	5.5508556
0.18	-0.05832264881	0.05251988397	44.9820808	0.8229249366
0.181	-0.05890180973	0.05313324997	45.2319613	0.5944501043
0.182	-0.05948152781	0.05374726339	45.48183843	0.7105427067
0.183	-0.06006184702	0.05436196142	45.73171266	0.6870161056
0.184	-0.06064281377	0.05497738334	45.98158446	0.9459146936
0.185	-0.06122447644	0.05559357009	46.23145431	0.7334775178
0.186	-0.06180688514	0.05621056394	46.48132268	2.797369891
0.187	-0.06239009123	0.05682840805	46.73119005	1.203129565
0.188	-0.062974147	0.05744714613	46.98105688	4.337226199
0.189	-0.06355910523	0.05806682203	47.23092364	2.164142017
0.19	-0.0641450188	0.05868747935	47.48079078	1.191419564
0.191	-0.0647319403	0.05930916106	47.73065872	1.901937652
0.192	-0.06531992159	0.05993190923	47.9805279	1.126050383
0.193	-0.06590901346	0.06055576457	48.23039872	5.725565763
0.194	-0.0664992653	0.06118076594	48.48027154	3.308014868
0.195	-0.06709072454	0.0618069503	48.73014674	1.098174405
0.196	-0.06768343617	0.06243435221	48.98002466	4.880682948
0.197	-0.06827744242	0.06306300354	49.22990562	1.242570886
0.198	-0.06887278226	0.06369293314	49.4797899	2.193294595
0.199	-0.06946949117	0.06432416661	49.72967779	1.050736745
0.2	-0.07006760072	0.06495672608	49.97956952	0.8805759534
0.201	-0.07066713834	0.06559062999	50.2294653	1.171211875
0.202	-0.07126812699	0.06622589286	50.47936531	5.525378446
0.203	-0.07187058493	0.06686252518	50.72926972	1.195998804
0.204	-0.07247452541	0.06750053322	50.97917863	4.448681589
0.205	-0.07307995651	0.0681399189	51.22909216	2.582094684
0.206	-0.07368688087	0.06878067973	51.47901035	0.7344413815
0.207	-0.07429529557	0.06942280891	51.72893324	1.657382119
0.208	-0.07490519215	0.07006629474	51.97886084	0.77121002
0.209	-0.07551655631	0.070711121	52.22879311	3.102973531
0.21	-0.07612936786	0.07135726691	52.47873002	1.430839515
0.211	-0.07674360067	0.07200470715	52.72867147	1.992184257
0.212	-0.07735922269	0.07265341188	52.97861738	1.65327394
0.213	-0.07797619604	0.07330334682	53.22856761	0.5521629364
0.214	-0.07859447705	0.07395447333	53.47852201	0.6319830131
0.215	-0.07921401635	0.07460674851	53.72848041	0.5226051755
0.216	-0.07983475903	0.07526012538	53.97844262	0.7622495599
0.217	-0.08045664481	0.07591455297	54.22840844	2.456231543
0.218	-0.08107960821	0.07656997658	54.47837765	0.7438731064
0.219	-0.08170357878	0.07722633785	54.72835	1.302011751
0.22	-0.08232848132	0.07788357504	54.97832524	0.7892011642
0.221	-0.08295423619	0.0785416232	55.22830313	2.466502364
0.222	-0.08358075954	0.07920041433	55.4782834	0.4483955301
0.223	-0.08420796352	0.07985987751	55.72826577	0.5718817984
0.224	-0.08483575663	0.08051993905	55.97824995	0.3460165322
0.225	-0.0854640442	0.08118052313	56.22823567	0.490040809
0.226	-0.08609272885	0.08184155216	56.47822265	0.8130271391
0.227	-0.08672171082	0.08250294695	56.7282106	2.502178729
0.228	-0.08735088834	0.0831646269	56.97819925	0.6272588662
0.229	-0.08798015792	0.08382651022	57.22818835	1.404148837
0.23	-0.08860941476	0.08448851411	57.47817763	3.489894664
0.231	-0.08923855313	0.08515055502	57.72816684	0.7657377858
0.232	-0.08986746672	0.08581254889	57.97815575	0.5365299241
0.233	-0.09049604905	0.08647441136	58.22814414	0.6649081432
0.234	-0.09112419384	0.08713605808	58.47813178	0.3604746808
0.235	-0.09175179538	0.08779740491	58.72811848	0.4917673541
0.236	-0.0923787489	0.08845836817	58.97810405	0.8822159421
0.237	-0.09300495093	0.08911886487	59.22808832	1.33553893
0.238	-0.09363029966	0.08977881292	59.47807114	3.308581697
0.239	-0.09425469524	0.09043813141	59.72805237	2.216665876
0.24	-0.09487804013	0.09109674076	59.97803188	5.885278639
