time = 0.002	Re = 1	rotation = 9.68942e-10
0.256813	0.170092	4871	
0.134832	-0.239101	5054	
0.451831	0.332641	859	
0.710483	0.105969	2025	
0.696678	0.270628	3351	
0.757438	-0.018088	1735	
0.188782	-0.376904	2242	
0.188081	0.790585	1206	
0.370195	-0.692114	1779	
0.120646	-0.738130	1352	
0.228133	0.705268	3165	
0.245116	-0.287030	2028	
0.931953	-0.039409	1594	
0.592088	0.657469	5564	
0.594379	0.092179	5685	
0.364285	0.696877	1780	
0.309634	0.527855	3088	
0.448482	0.610842	1654	
0.690871	0.515924	385	
0.779748	0.502693	4623	
0.392080	-0.605117	1442	
0.866703	-0.163273	501	
0.924825	0.284559	2467	
0.516363	0.134481	5245	
0.536456	-0.726460	5084	
0.671568	-0.642566	2033	
0.155473	-0.859822	4635	
0.356904	0.867680	2217	
0.366327	0.852283	986	
0.058567	-0.560120	3994	
0.260253	-0.257565	2975	
0.584198	-0.215378	5338	
0.268173	-0.026112	5537	
0.675955	-0.615654	3189	
0.150715	-0.675496	1605	
0.114681	-0.418477	821	
0.695974	-0.334446	2756	
0.095457	0.259804	4946	
0.775138	-0.189917	2818	
0.666817	0.178062	1433	
0.643644	-0.156236	1702	
0.477099	0.629899	1835	
0.544660	0.632336	2660	
0.730437	-0.549234	978	
0.793597	0.258231	5272	
0.233271	0.031747	678	
0.240028	0.443446	2789	
0.301866	-0.006511	4021	
0.159497	-0.617375	841	
0.770261	-0.214862	3432	
0.223358	-0.416807	3443	
0.771321	0.524594	4685	
0.081541	0.662073	5112	
0.172042	-0.727135	3633	
0.533457	-0.262048	2402	
0.143253	0.737457	5116	
0.506202	-0.302584	3350	
0.532721	0.618424	2660	
0.170935	0.731353	3632	
0.585445	0.231064	2668	
0.588542	-0.557362	2040	
0.356343	-0.518327	2353	
0.581269	0.712369	5192	
0.556898	0.813046	2168	
0.201711	0.174673	4916	
0.354678	0.487410	1716	
0.449880	-0.175638	3758	
0.142979	-0.290891	3646	
0.519132	0.296332	3253	
0.275838	-0.558507	811	
0.080998	0.407301	1111	
0.647125	-0.258053	1251	
0.076786	-0.440940	448	
0.695407	-0.136214	1220	
0.919730	0.130892	5559	
0.711275	0.013539	981	
0.412128	-0.705405	2725	
0.401845	0.595424	1443	
0.000187	0.909190	4300	
0.662514	-0.378704	4026	
0.489821	-0.471855	4696	
0.435931	0.276438	636	
0.674077	-0.354453	3105	
0.022966	-0.245611	5730	
0.375378	-0.175951	3510	
0.148714	0.826865	5393	
0.741024	-0.649090	4145	
0.471966	0.214409	2688	
0.738831	0.334836	2797	
0.612238	-0.740937	4941	
0.539703	0.734867	4660	
0.658544	-0.089201	5027	
0.466862	-0.576725	1236	
0.388006	-0.766588	2655	
0.191426	0.579077	579	
0.472190	0.675478	2736	
0.322849	-0.233608	2369	
0.654930	0.065739	4925	
0.789285	0.532996	1243	
0.575404	0.161379	1412	
0.734361	0.221126	4187	
0.437094	-0.162425	3758	
0.586556	0.367566	2126	
0.222771	0.123715	933	
0.110804	-0.441535	4561	
0.552741	-0.095037	296	
0.440386	0.308397	622	
0.348574	-0.229670	1300	
0.153370	0.781009	1270	
0.237208	-0.856496	5510	
0.148374	0.641731	928	
0.929678	-0.288204	2644	
0.353493	0.701906	1508	
0.641006	-0.107033	1103	
0.293023	0.339390	2477	
0.804210	-0.229233	4287	
0.464290	0.284543	2735	
0.587781	0.466452	5501	
0.855647	0.083487	1841	
0.066757	-0.231293	1591	
0.702417	0.598472	777	
0.053869	0.445315	5040	
0.483626	0.589853	1237	
0.716058	-0.647162	5581	
0.918720	0.155413	5558	
0.385726	-0.544587	4393	
0.735520	0.219727	4187	
0.456473	-0.356692	4447	
0.188705	0.747362	684	
0.075203	-0.370552	1089	
0.590787	0.360168	2126	
0.270862	-0.485023	2889	
0.342772	-0.832006	2122	
0.939516	-0.189678	5258	
0.200502	-0.312372	5144	
0.195789	-0.488321	2982	
0.757596	-0.523956	3974	
0.698843	0.186731	2535	
0.145083	0.527417	760	
0.291345	-0.924177	2608	
0.390230	0.466253	1346	
0.045728	0.301355	432	
0.872580	-0.076295	4228	
0.523266	-0.644420	2357	
0.121118	0.227696	915	
0.716410	-0.424993	2782	
0.103053	0.643985	1315	
0.751901	-0.425242	3962	
0.328745	0.859696	1957	
0.712523	0.624149	295	
0.454761	-0.345475	4447	
0.138307	0.250756	5266	
0.125154	0.474121	3878	
0.546540	-0.085340	472	
0.752918	0.214551	4187	
0.401083	-0.199711	3807	
0.471315	-0.020807	1452	
0.471302	-0.412403	1692	
0.272518	-0.551138	811	
0.566443	0.288205	5715	
0.279923	-0.382267	2007	
0.499005	0.137119	3231	
0.546329	-0.479907	677	
0.145973	-0.263255	2435	
0.784119	0.192266	3896	
0.181873	-0.533565	1012	
0.904192	-0.207624	4806	
0.727789	-0.029124	1190	
0.243248	-0.056717	902	
0.135776	-0.279332	3400	
0.100704	0.191716	1389	
0.262231	-0.939970	2365	
0.109695	0.398430	843	
0.281437	-0.203137	4714	
0.824861	-0.437760	316	
0.468170	0.651723	2390	
0.768692	-0.522868	5182	
0.252717	0.096946	3520	
0.772062	0.475201	543	
0.648182	0.329181	4683	
0.358559	0.490608	2354	
0.602561	0.572638	2370	
0.153514	0.629185	842	
0.723382	0.091891	4518	
0.259717	-0.804652	3614	
0.484833	-0.710757	886	
0.820321	-0.339082	3396	
0.663658	-0.624776	616	
0.716554	0.150866	863	
0.470017	0.535078	3797	
0.550519	-0.373554	1687	
0.027955	-0.941307	5046	
0.459865	0.001535	1135	
0.915267	-0.160662	737	
0.107779	-0.538168	5284	
0.945409	0.190304	2236	
0.355343	0.785423	2461	
0.300574	0.762189	4628	
0.121134	0.876459	4162	
0.017549	-0.293917	4010	
0.180811	-0.467866	2239	
0.625683	-0.113804	1103	
0.736313	0.274074	428	
0.300557	-0.352247	2068	
0.798146	0.064326	1881	
0.137979	0.737416	5116	
0.129270	0.338816	3434	
0.277943	-0.437864	4959	
0.801014	-0.457629	4768	
0.231585	-0.602767	3598	
0.429725	0.615811	1654	
0.152302	0.234119	5266	
0.472290	0.292642	2735	
0.403485	0.519644	4481	
0.321008	0.444335	4270	
0.959658	0.158483	2358	
0.485950	-0.662906	2389	
0.687549	0.212344	2561	
0.552886	-0.387146	2525	
0.394491	-0.133612	4483	
0.657485	0.451787	551	
0.312953	0.229473	2368	
0.370374	-0.029577	1386	
0.334635	-0.659748	3715	
0.264204	0.909891	5028	
0.474267	-0.411372	1692	
0.342393	-0.541606	3404	
0.565304	-0.565666	1324	
0.397730	-0.221121	892	
0.442853	-0.564858	2451	
0.962827	-0.151002	3358	
0.586163	-0.321558	1754	
0.480558	0.808181	1971	
0.167614	0.586803	351	
0.462136	-0.486118	4722	
0.686470	-0.511335	481	
0.153374	-0.339688	2884	
0.292883	0.460740	3366	
0.767880	-0.486863	3936	
0.226556	0.411505	3444	
0.873752	0.214483	317	
0.939131	0.330853	2549	
0.854645	0.041244	4174	
0.386401	-0.421179	527	
0.149236	-0.701172	2076	
0.442864	-0.115129	5350	
0.019077	-0.481731	1734	
0.008446	0.762825	750	
0.532110	-0.677731	3757	
0.454890	-0.292066	3505	
0.648999	0.100432	1048	
0.429344	-0.030608	405	
0.881420	0.132005	2313	
0.116665	-0.914231	5515	
0.549710	0.769624	4217	
0.452856	0.861311	1074	
0.029915	0.438900	406	
0.955358	-0.060867	4703	
0.253855	0.303008	1306	
0.381974	-0.322915	2125	
0.357388	-0.176661	3510	
0.450895	-0.666591	2470	
0.676274	0.680396	2537	
0.734292	-0.160829	5731	
0.166136	0.423638	3561	
0.116171	0.218302	915	
0.511054	-0.202425	1457	
0.135693	-0.579758	1585	
0.323478	0.365511	2393	
0.026493	0.877343	4375	
0.211756	-0.699817	3100	
0.091736	0.337762	1576	
0.332237	0.053787	1910	
0.569266	-0.417238	3040	
0.560620	0.739434	5332	
0.743312	0.020574	1018	
0.138727	-0.792479	1944	
0.319615	-0.288629	1962	
0.820725	0.007195	3671	
0.633956	0.166284	1070	
0.860830	-0.468583	3052	
0.291695	0.354302	2067	
0.121161	-0.641134	1316	
0.253972	0.799493	3613	
0.349558	-0.690553	3220	
0.572996	0.500149	1616	
0.527805	-0.734965	2119	
0.845190	0.301076	943	
