Time	U_x	U_y	P	Max.Res.	Omega_1(Wall)
0.0249	-4.513309494e-05	4.485027147e-05	-0.1032822305	0.2423939309	1
0.025	-4.552603491e-05	4.52880845e-05	-0.1040127148	0.2229954703	1
0.0251	-4.59196908e-05	4.572842205e-05	-0.1047464701	0.2241375776	1
0.0252	-4.631432666e-05	4.617085565e-05	-0.1054694282	0.2914512523	1
0.0253	-4.671030122e-05	4.661593887e-05	-0.1061804267	0.4059760945	1
0.0254	-4.710820613e-05	4.706434007e-05	-0.1068787742	0.6070824474	1
0.0255	-4.750871492e-05	4.751673907e-05	-0.1075642257	0.5584328684	1
0.0256	-4.791249503e-05	4.797378617e-05	-0.1082369345	0.3170074063	1
0.0257	-4.832017106e-05	4.843607161e-05	-0.1088974104	0.4019905988	1
0.0258	-4.873230631e-05	4.890411002e-05	-0.1095464784	0.3131418368	1
0.0259	-4.914939358e-05	4.937833355e-05	-0.1101852363	0.2472845988	1
0.026	-4.957185161e-05	4.985909049e-05	-0.1108150124	0.247372004	1
0.0261	-5.00000253e-05	5.034664775e-05	-0.1114373224	0.3203878814	1
0.0262	-5.043418831e-05	5.084119575e-05	-0.1120538284	0.4611168655	1
0.0263	-5.08758187e-05	5.134464103e-05	-0.1126771464	0.7072300716	1
0.0264	-5.132284827e-05	5.185339997e-05	-0.1132875819	0.5553011936	1
0.0265	-5.177574856e-05	5.236903942e-05	-0.1138971436	1.267201501	1
0.0266	-5.223625545e-05	5.289354272e-05	-0.1145186571	1.328578103	1
0.0267	-5.270212962e-05	5.342309652e-05	-0.1151325741	0.7464171644	1
0.0268	-5.317528923e-05	5.396125352e-05	-0.1157617919	0.4425249958	1
0.0269	-5.365355185e-05	5.450412172e-05	-0.1163864101	0.3584185808	1
0.027	-5.413897968e-05	5.50553687e-05	-0.1170295461	0.5404944946	1
0.0271	-5.463081535e-05	5.561304385e-05	-0.1176819779	0.8455526391	1
0.0272	-5.512856208e-05	5.617682793e-05	-0.1183445694	0.3142414791	1
0.0273	-5.563346681e-05	5.674850112e-05	-0.1190298197	0.4681555631	1
0.0274	-5.614574149e-05	5.732783121e-05	-0.1197389477	0.3642655821	1
0.0275	-5.666345887e-05	5.791224465e-05	-0.1204602762	0.2776262669	1
0.0276	-5.718718107e-05	5.850316889e-05	-0.1212054039	0.2662236583	1
0.0277	-5.771529953e-05	5.909820889e-05	-0.1219617221	0.3592989871	1
0.0278	-5.824857895e-05	5.969894849e-05	-0.122740708	0.5189886868	1
0.0279	-5.878558975e-05	6.030320978e-05	-0.1235289394	0.6350779654	1
