time = 28	Re = 1	rotation = 4.45618
0.380815	0.574515	1719	
0.222182	0.061781	1495	
0.278219	-0.558335	7672	
0.624132	0.574560	794	
0.599679	-0.581950	9389	
-0.538706	-0.499181	9995	
-0.424315	-0.601449	3560	
0.199044	-0.798952	4769	
0.349406	-0.446098	6785	
-0.867800	0.292894	8177	
-0.530195	0.123665	2242	
0.017419	-0.768183	2023	
0.052608	-0.619983	4901	
-0.779524	-0.481192	1156	
-0.897239	-0.100948	8890	
-0.600455	0.715732	2983	
-0.877259	-0.389743	8402	
-0.744952	-0.226137	9817	
0.010749	-0.264955	6712	
0.677071	0.111959	2823	
-0.900435	-0.061752	8101	
-0.276598	-0.291308	3257	
0.227942	0.608303	2191	
0.065552	-0.563662	8903	
-0.283475	-0.211671	8150	
0.458514	-0.551323	953	
0.124790	-0.112979	2420	
-0.070319	0.416407	5674	
-0.224888	-0.367545	9363	
-0.003292	0.785243	2024	
0.482411	-0.048368	3268	
-0.669346	0.656878	1282	
0.336994	0.716828	1640	
0.395731	0.221611	3933	
-0.419205	0.445563	5301	
0.313910	0.008880	4070	
0.642584	0.290159	6489	
-0.181789	-0.327358	9500	
-0.190347	-0.487505	5076	
0.008939	-0.572451	6426	
-0.339846	-0.345141	6394	
0.889575	-0.343467	366	
-0.071992	-0.512151	4797	
-0.514628	-0.436021	5323	
-0.724065	0.600296	586	
-0.483613	0.521592	7581	
-0.158558	0.361042	2251	
0.833972	-0.257200	5928	
0.498458	-0.822338	11013	
-0.000643	0.911809	6831	
-0.691211	0.550660	7902	
0.002697	-0.945502	512	
0.560052	0.522231	10616	
-0.095131	0.861313	7910	
-0.556369	0.696611	973	
0.640629	-0.701086	475	
-0.718631	0.040019	7749	
-0.001643	-0.203221	3664	
-0.289995	-0.796637	6183	
-0.446139	-0.150819	708	
-0.286107	-0.928315	4222	
0.708350	-0.260015	5428	
-0.228683	-0.798269	9653	
0.156616	-0.579504	2648	
-0.419830	0.384507	9554	
-0.555083	-0.010231	9526	
0.952441	-0.145461	8870	
-0.208317	0.858258	7632	
0.250446	0.611351	9667	
-0.484599	0.285363	4055	
-0.801889	0.395529	6061	
0.175015	-0.474915	2368	
-0.796966	0.102115	10396	
0.482779	0.600403	8968	
-0.467457	0.388130	1382	
-0.181149	0.327711	4541	
0.205443	-0.016017	9084	
-0.218720	-0.948645	10501	
0.286515	0.140901	3696	
0.585846	0.502019	2696	
-0.869909	0.364935	447	
-0.214681	0.710207	3299	
0.463411	-0.046937	3146	
-0.909672	0.031675	7574	
0.028476	0.680382	4993	
-0.928949	0.174209	764	
-0.085989	-0.513389	877	
-0.687753	0.072253	5504	
-0.755052	0.211289	8579	
0.144673	-0.566804	1322	
-0.591779	-0.556345	5793	
0.057909	0.374726	8459	
-0.722139	0.598814	586	
0.487709	0.463304	7942	
-0.725749	-0.540577	10931	
-0.577742	-0.747930	10205	
0.656611	-0.677572	535	
-0.327317	0.710648	5391	
-0.597793	0.414660	3880	
-0.347913	0.310250	717	
-0.261680	-0.480476	7408	
