time = 0.001	Re = 1	rotation = 0
0.156906	-0.315882	5491	
0.727576	0.325908	3858	
0.854569	0.108352	361	
0.024871	-0.885384	9231	
0.457337	0.649138	3027	
0.668697	0.091167	3274	
0.589604	0.792371	9303	
0.574921	-0.156937	1152	
0.702666	-0.286288	8163	
0.157022	0.368095	424	
0.034841	0.770380	1977	
0.844873	0.019411	8520	
0.127932	0.242818	1969	
0.239599	0.261503	5506	
0.477117	0.170710	3827	
0.253028	-0.598233	341	
0.638377	0.520849	8702	
0.359528	0.417436	4441	
0.587994	0.618599	11055	
0.204665	0.592589	1419	
0.266004	-0.403737	3102	
0.189795	0.041560	3669	
0.375478	-0.516176	816	
0.684891	0.337789	10063	
0.044885	-0.349451	2605	
0.496259	-0.656105	5531	
0.084981	-0.094627	1880	
0.312263	0.776919	1934	
0.697201	-0.074009	2886	
0.264770	0.150803	4733	
0.195383	0.482268	3209	
0.087156	-0.227192	4569	
0.729604	0.155691	493	
0.559903	0.128773	7001	
0.050379	-0.791893	3755	
0.614901	0.462653	6681	
0.244960	0.927707	5526	
0.740714	-0.524718	8356	
0.644099	-0.321131	2791	
0.727650	0.168458	1087	
0.756156	-0.497829	8177	
0.164558	0.025646	5769	
0.863171	-0.305467	9243	
0.243099	0.461888	863	
0.977525	0.006518	2352	
0.392214	-0.216527	7071	
0.794918	0.411327	9465	
0.891982	0.400964	3984	
0.440192	-0.585849	3424	
0.665472	0.507115	1358	
0.118611	0.569343	8613	
0.492299	0.707738	10015	
0.135749	0.930043	2665	
0.490345	-0.855790	5918	
0.280919	0.804880	10706	
0.443855	-0.266352	7602	
0.789703	-0.066551	1810	
0.076224	0.657606	4867	
0.790492	0.029195	10157	
0.008956	-0.727295	3299	
0.712172	0.181003	2075	
0.699766	-0.278831	8163	
0.629246	-0.130976	2919	
0.413631	-0.170348	2327	
0.031178	-0.878042	7556	
0.849710	0.390202	10306	
0.229648	-0.763977	2812	
0.588763	0.795324	9303	
0.920004	-0.268431	1443	
0.930931	0.090628	546	
0.573449	-0.643302	393	
0.115350	-0.511363	4655	
0.123735	-0.553541	8619	
0.540550	0.735970	1158	
0.231362	-0.020011	1623	
0.228125	-0.732331	3172	
0.128397	-0.299478	8180	
0.251845	-0.854744	7559	
0.643981	-0.498220	1904	
0.449801	-0.423849	3374	
0.921092	-0.100503	9753	
0.535707	-0.095075	3292	
0.325718	-0.399947	4688	
0.266187	-0.601207	10028	
0.492322	-0.310217	8305	
0.329733	-0.867916	972	
0.014688	0.823299	5384	
0.414112	0.353675	5226	
0.451800	-0.599177	3915	
0.480558	-0.817025	1282	
0.229647	0.370600	1868	
0.526512	0.099583	10772	
0.905129	0.301550	7908	
0.186240	0.791637	2012	
0.126524	-0.204150	2628	
0.760175	0.125135	1521	
0.729863	-0.615038	1035	
0.393816	0.849286	550	
0.250942	-0.684484	1918	
0.061236	-0.800056	3991	
0.317950	0.051584	9066	
0.117532	-0.287488	5536	
0.266899	0.614570	2069	
0.164312	0.753515	932	
0.458382	-0.030397	9446	
0.375633	0.281890	10155	
0.205678	-0.385860	6876	
0.244680	-0.598053	353	
0.074622	-0.273647	1214	
0.823304	-0.449973	6670	
0.369014	0.522505	7946	
0.695771	-0.175829	6231	
0.165107	0.787381	3905	
0.574575	-0.487039	4026	
0.236687	-0.103465	9786	
0.402285	-0.862642	1863	
0.496202	-0.346691	9975	
0.180809	-0.667602	1279	
0.239931	-0.559184	8758	
0.710239	0.538558	8249	
0.362800	-0.681576	7896	
0.644400	-0.334983	2065	
0.004436	-0.879334	9633	
0.595293	-0.290953	4903	
0.032937	-0.834281	5298	
0.362717	-0.506818	426	
0.492895	-0.695927	6365	
0.617419	0.478398	7395	
0.601904	0.189793	6487	
0.737436	0.450830	7654	
0.279766	0.594228	7771	
0.248272	0.653854	5083	
0.718627	-0.353988	7370	
0.675029	0.345706	10615	
0.647555	0.345131	6363	
0.577968	0.554178	9518	
0.143131	-0.397525	3356	
0.755553	-0.314914	9746	
0.603892	0.242181	2746	
0.298535	-0.078480	3269	
0.685346	0.546633	5253	
0.646989	-0.229169	2771	
0.032377	0.801984	2381	
0.008580	-0.795229	3830	
0.056883	0.901855	1221	
0.523126	-0.239332	2511	
0.445736	-0.811052	9409	
0.770797	-0.444113	7527	
0.139536	0.402742	4950	
0.388280	0.110970	8556	
0.356703	0.263080	9714	
0.462875	0.292196	2796	
0.608938	-0.598708	4312	
0.337447	-0.393832	3082	
0.229420	-0.885289	9329	
0.948395	-0.048942	5281	
0.034837	0.591056	5502	
0.265221	-0.709394	1712	
0.642912	-0.507489	1904	
0.315828	0.805642	7766	
0.922369	0.274758	8009	
0.097418	-0.478276	7332	
