time = 10.8	Re = 90
-0.503009	-0.476772	388
-0.488813	-0.490709	389
-0.470281	-0.507288	390
-0.451922	-0.522574	391
-0.432557	-0.537463	392
-0.414838	-0.549827	393
-0.413387	-0.550173	394
-0.408512	-0.552930	395
-0.396532	-0.560644	396
-0.383562	-0.569017	397
-0.361742	-0.581678	398
-0.340069	-0.593261	399
-0.320252	-0.603049	400
-0.304661	-0.609494	401
-0.289314	-0.615361	402
-0.271303	-0.622430	403
-0.254308	-0.628684	404
-0.239295	-0.633788	405
-0.223637	-0.639171	406
-0.207441	-0.643803	407
-0.193537	-0.647959	408
-0.184791	-0.650826	409
-0.175224	-0.654606	410
-0.167376	-0.657460	411
-0.158838	-0.661381	412
-0.147454	-0.666452	413
-0.134518	-0.673096	414
-0.120793	-0.680607	415
-0.106384	-0.689039	416
-0.092335	-0.697206	417
-0.076152	-0.706482	418
-0.059638	-0.715625	419
-0.041319	-0.725277	420
-0.024446	-0.732017	421
-0.003224	-0.735726	422
0.012237	-0.737399	423
0.031735	-0.738003	424
0.048292	-0.735743	425
0.068268	-0.732405	426
0.080595	-0.729407	427
0.096493	-0.725614	428
0.115728	-0.720383	429
0.127462	-0.716365	430
0.144801	-0.712230	431
0.159341	-0.707101	432
0.178439	-0.700763	433
0.192879	-0.695426	434
0.209083	-0.689859	435
0.225564	-0.683401	436
0.244003	-0.676377	437
0.261662	-0.668831	438
0.284727	-0.658970	439
0.292802	-0.654578	440
0.309989	-0.647211	441
0.322231	-0.640676	442
0.338048	-0.632948	443
0.358913	-0.621406	444
0.370230	-0.614528	445
0.384820	-0.606169	446
0.408256	-0.591532	447
0.420948	-0.582922	448
0.433497	-0.574508	449
0.451879	-0.560770	450
0.470198	-0.546340	451
0.488157	-0.530948	452
0.506705	-0.514534	453
0.522988	-0.498898	454
0.542403	-0.479087	455
0.562572	-0.457023	456
0.570559	-0.447104	457
0.584880	-0.430662	458
0.598328	-0.412618	459
0.611297	-0.394365	460
0.625026	-0.373919	461
0.638133	-0.353059	462
0.646878	-0.337781	463
0.657103	-0.319794	464
0.665934	-0.302467	465
0.676095	-0.282353	466
0.682932	-0.266542	467
0.690219	-0.249322	468
0.696670	-0.232108	469
0.703913	-0.212423	470
0.711103	-0.189791	471
0.718511	-0.164071	472
0.722140	-0.148712	473
0.726578	-0.130793	474
0.729657	-0.114896	475
0.733470	-0.096087	476
0.736827	-0.072606	477
0.740247	-0.044000	478
0.742649	-0.015846	479
0.743141	-0.002435	480
0.744101	0.015407	481
0.744226	0.037363	482
0.743758	0.058133	483
0.742390	0.082718	484
0.740241	0.109153	485
0.737897	0.128919	486
0.735142	0.147914	487
0.730825	0.173914	488
0.725021	0.202588	489
0.719469	0.224561	490
0.713564	0.245031	491
0.704932	0.272676	492
0.699433	0.288407	493
0.693747	0.304116	494
0.685775	0.323067	495
0.677420	0.341859	496
0.666712	0.364051	497
0.655986	0.384211	498
0.648445	0.397018	499
0.639447	0.412497	500
0.626481	0.433436	501
0.612748	0.454252	502
0.599112	0.473455	503
0.583099	0.495043	504
0.572446	0.508549	505
0.561277	0.522500	506
0.550629	0.534712	507
0.537026	0.550482	508
0.518867	0.569637	509
0.500954	0.587285	510
0.489703	0.597574	511
0.478267	0.608015	512
0.466473	0.617880	513
0.454724	0.627711	514
0.434946	0.643030	515
0.414472	0.657957	516
0.394585	0.671572	517
0.373469	0.685341	518
0.355493	0.696130	519
0.337199	0.706420	520
0.317480	0.717095	521
0.296183	0.728190	522
0.275974	0.737719	523
0.253733	0.747873	524
0.230345	0.757497	525
0.205822	0.767693	526
0.181938	0.777052	527
0.157723	0.785869	528
0.133249	0.794166	529
0.105988	0.802930	530
0.090951	0.807120	531
0.075971	0.811251	532
0.059043	0.815299	533
0.042143	0.819147	534
0.026333	0.821687	535
0.010443	0.823830	536
-0.007680	0.825378	537
-0.025568	0.826494	538
-0.047407	0.826517	539
-0.075514	0.825470	540
-0.099895	0.823198	541
-0.126545	0.819776	542
-0.148647	0.815721	543
-0.175808	0.810203	544
-0.199986	0.804312	545
-0.226669	0.797389	546
-0.250197	0.790253	547
-0.275974	0.781830	548
-0.300314	0.772964	549
-0.313273	0.767732	550
-0.325972	0.762917	551
-0.346667	0.753981	552
-0.370155	0.743464	553
-0.390694	0.733402	554
-0.413353	0.721853	555
-0.429500	0.712806	556
-0.445932	0.703355	557
-0.462075	0.693442	558
-0.478848	0.682779	559
-0.493389	0.672733	560
-0.508522	0.662165	561
-0.526046	0.649421	562
-0.544011	0.635941	563
-0.561548	0.621736	564
-0.583226	0.603747	565
-0.602028	0.586737	566
-0.620732	0.569034	567
-0.634864	0.554808	568
-0.649593	0.539536	569
-0.664978	0.522675	570
-0.682673	0.502184	571
