time = 0.003	Re = 10	rotation = 9.86959e-11
0.437962	0.323365	2228	
0.349366	0.673191	8078	
0.294420	0.672889	6601	
0.154826	0.777378	2150	
-0.712943	0.301309	8128	
0.511735	0.342921	7386	
0.207299	0.621393	4207	
-0.402773	0.460909	4190	
0.369598	0.773659	5759	
0.294436	0.385739	3567	
-0.981250	0.102390	2445	
0.566548	0.060892	10514	
0.046729	0.380595	700	
-0.106907	0.094697	4116	
0.753297	0.037534	8848	
0.542482	0.278329	2759	
0.248995	0.035582	9555	
-0.223662	0.555679	8757	
-0.287120	0.631719	389	
-0.074835	0.646329	5036	
0.219073	0.200951	8874	
-0.324318	0.303253	4097	
-0.539389	0.057471	3600	
-0.468139	0.145436	3865	
0.000043	0.996541	5973	
0.286838	0.246577	9765	
-0.369956	0.902979	10006	
-0.804208	0.260911	8446	
-0.644141	0.620054	5999	
-0.691221	0.440847	9043	
0.104881	0.227871	5240	
-0.545687	0.266946	2517	
0.794115	0.564627	5219	
-0.748378	0.205011	7754	
0.873689	0.373106	10707	
-0.299226	0.469994	9899	
-0.211678	0.338281	4506	
-0.267040	0.866459	8522	
0.389456	0.017769	9563	
0.842119	0.240696	1460	
-0.514938	0.510020	9191	
-0.495054	0.649032	2976	
0.375179	0.042616	1515	
0.098475	0.643199	2871	
0.140847	0.273678	3279	
-0.558351	0.153583	1323	
0.519746	0.792718	1544	
0.100675	0.532326	4400	
-0.277787	0.075850	912	
-0.589002	0.424853	5010	
0.305029	0.552646	9641	
-0.497600	0.324052	8092	
0.576329	0.162451	1037	
-0.836838	0.513185	10454	
-0.557340	0.232316	1243	
0.051833	0.498534	2295	
-0.607252	0.027078	9137	
-0.831644	0.419858	10655	
0.034243	0.646491	2461	
-0.057586	0.658199	4595	
0.605467	0.613702	10399	
0.511476	0.378403	9972	
0.201867	0.469170	877	
0.450632	0.097660	3881	
0.425279	0.523994	9764	
0.550854	0.797293	8765	
0.562981	0.569706	10442	
0.453702	0.457150	9158	
0.604432	0.743531	2780	
0.834304	0.169935	9643	
-0.137493	0.531195	1632	
-0.058705	0.697994	6534	
0.083645	0.542340	5204	
0.334427	0.522390	6565	
0.284467	0.763869	1899	
-0.374978	0.156098	10274	
0.302934	0.337081	3587	
-0.139529	0.849336	6034	
0.848584	0.506250	4781	
-0.711642	0.396234	7501	
-0.702050	0.122745	2714	
-0.466640	0.771092	7994	
0.056640	0.872991	9656	
-0.577397	0.044930	1963	
0.720724	0.073574	5370	
-0.191155	0.065118	9084	
0.423229	0.569834	9925	
-0.697229	0.627341	2534	
-0.084330	0.512488	3615	
0.817077	0.246402	2441	
-0.253102	0.771632	3007	
-0.320314	0.218128	10659	
-0.382362	0.506966	9358	
-0.556438	0.730003	10429	
0.153313	0.315671	4246	
0.898740	0.264958	782	
-0.797252	0.286726	5882	
-0.394244	0.644827	5677	
0.497946	0.607624	677	
-0.260119	0.584640	342	
-0.685437	0.037764	382	
-0.214495	0.154130	5919	
-0.694515	0.479830	7060	
-0.646129	0.199879	3204	
0.150278	0.457063	872	
0.436238	0.463050	1931	
-0.385387	0.635868	2410	
-0.034744	0.977583	5947	
-0.504465	0.675058	6366	
-0.494866	0.719469	7834	
-0.226923	0.759490	2811	
-0.308972	0.186937	7308	
-0.770465	0.033094	9905	
-0.028410	0.960932	9878	
0.255434	0.590998	5619	
-0.606600	0.287142	3675	
-0.106526	0.123796	6735	
0.541993	0.091120	8312	
0.002924	0.119725	1331	
0.545255	0.772057	9968	
0.506173	0.404643	4748	
0.388788	0.778242	6335	
-0.235316	0.934781	9118	
-0.060824	0.215960	3437	
0.029250	0.643997	3774	
-0.361161	0.106806	3799	
-0.086270	0.487799	9613	
0.542811	0.072423	5275	
0.340860	0.147990	5983	
0.362230	0.341983	3318	
0.690172	0.456371	5736	
-0.532583	0.762525	7365	
-0.731144	0.204374	7372	
-0.240677	0.496578	2948	
-0.050230	0.435883	9071	
0.332010	0.787628	8019	
0.031190	0.366147	700	
-0.257574	0.273383	6972	
0.093927	0.854137	7715	
0.567528	0.394724	1915	
0.487589	0.389287	7283	
-0.369226	0.235482	1312	
0.607583	0.029081	10760	
-0.521805	0.301361	6742	
0.215262	0.425818	6948	
0.326123	0.143061	6666	
-0.313092	0.529310	3994	
0.245131	0.269601	5506	
-0.477660	0.046384	11041	
0.645421	0.027946	10854	
-0.278731	0.179906	9177	
0.003535	0.980649	5973	
-0.158029	0.585628	4727	
0.182342	0.056999	4583	
0.442275	0.776421	5400	
0.467525	0.146743	7111	
-0.092240	0.397160	3722	
-0.228481	0.068293	7358	
-0.673473	0.696827	5566	
0.203251	0.753261	2023	
-0.548382	0.751381	9895	
0.672106	0.542017	5253	
0.182285	0.938093	9698	
-0.564992	0.043716	9623	
0.191971	0.541009	5004	
-0.187013	0.953563	7633	
-0.096821	0.815611	5168	
0.363156	0.405789	4441	
0.218345	0.945190	8880	
-0.515974	0.250298	2512	
-0.257410	0.675755	1917	
0.831294	0.095123	5029	
-0.030116	0.780789	2472	
0.296994	0.126512	7052	
0.720053	0.618073	809	
0.574903	0.491380	5808	
0.176945	0.573247	2031	
-0.155448	0.129632	3068	
-0.917387	0.004748	9249	
-0.286390	0.242532	6949	
0.110771	0.923935	5926	
0.335291	0.084207	4163	
0.223940	0.369099	1868	
0.530541	0.247615	2572	
-0.753010	0.107043	9145	
-0.010471	0.562065	6617	
-0.562433	0.550799	6265	
0.435705	0.249803	5814	
0.687356	0.377681	10571	
-0.365253	0.598193	7487	
-0.191757	0.116867	2591	
-0.175037	0.843658	5874	
0.046218	0.608402	1817	
-0.280252	0.175803	9177	
0.140078	0.551778	6426	
0.912259	0.009359	6237	
-0.518752	0.045677	908	
0.697720	0.168976	450	
-0.206232	0.453198	5943	
-0.350002	0.426528	7398	
-0.377506	0.525223	815	
-0.921862	0.269731	1444	
0.527873	0.092264	4694	
0.324135	0.551576	5803	
-0.126935	0.177337	3152	
0.285151	0.361371	376	
-0.037385	0.459086	823	
0.395181	0.506245	2624	
-0.259896	0.196497	10299	
-0.940238	0.226181	1666	
0.243620	0.258141	5506	
-0.486865	0.773833	7764	
0.312317	0.399585	5076	
0.412655	0.279674	645	
-0.401242	0.400492	4056	
-0.152597	0.552287	2828	
-0.233237	0.855484	7560	
0.265878	0.913909	582	
0.422619	0.768243	1418	
0.156161	0.879193	6320	
0.304184	0.840992	5178	
0.758415	0.464878	8538	
0.895029	0.254649	782	
0.260474	0.456599	2171	
0.223583	0.581019	1419	
0.542578	0.551549	5732	
0.119875	0.591774	1414	
-0.563173	0.683489	5766	
0.253351	0.266290	5932	
-0.582721	0.448407	3328	
-0.883072	0.289153	8451	
-0.644697	0.098578	3158	
0.019597	0.854799	7598	
-0.128575	0.265303	7074	
0.011597	0.658125	4705	
-0.877003	0.341405	10492	
-0.220740	0.505473	2674	
-0.245678	0.512017	4516	
0.213978	0.144398	4456	
0.392582	0.890779	10072	
-0.552564	0.539886	5459	
0.015747	0.112015	2151	
0.030306	0.755240	1959	
-0.765716	0.356256	10371	
-0.835207	0.151497	9442	
-0.895006	0.226143	4302	
-0.091535	0.791421	1363	
0.372602	0.587538	9778	
0.830290	0.336640	890	
-0.147038	0.397268	3355	
0.193639	0.932057	10506	
0.344546	0.032738	10326	
-0.202305	0.318450	3404	
-0.793614	0.309853	7338	
-0.775218	0.003860	9596	
0.775199	0.156843	8530	
