time = 5	Re = 1	rotation = 0.795616
0.140116	-0.844504	6642	
-0.616159	-0.754608	5897	
0.021627	0.319535	4121	
-0.788091	-0.163122	8771	
0.120839	-0.650607	6645	
0.513636	-0.762030	9277	
0.089601	0.767207	2397	
-0.877621	0.156399	9950	
-0.706567	0.328564	2993	
-0.877900	-0.254976	7764	
0.349098	-0.835924	7231	
0.441962	0.260815	5223	
0.309266	0.436100	7355	
0.236624	-0.618275	2283	
0.726715	-0.581740	5193	
0.108697	0.285080	4843	
-0.025239	0.787858	8471	
0.307831	0.635030	6519	
0.514389	0.352258	1762	
0.378857	-0.383539	3894	
-0.190293	0.685052	7813	
0.165759	-0.048752	6932	
0.413838	-0.202888	4820	
-0.502020	-0.824362	1301	
0.935533	-0.277939	5974	
-0.627794	0.538998	8720	
0.292736	-0.208719	10877	
-0.778904	0.320995	6435	
-0.925470	-0.284295	759	
-0.799348	-0.510521	1276	
0.433461	-0.125870	2280	
0.425570	-0.367276	3839	
0.491639	-0.325869	9970	
-0.711640	0.221585	8895	
-0.681905	-0.422173	7114	
0.345284	-0.101039	9507	
0.118799	0.795258	3074	
0.516098	0.520056	2373	
0.238442	0.039287	4567	
-0.482076	-0.589789	8164	
0.160882	0.044196	2419	
-0.430004	0.580592	9035	
0.230856	0.596863	4259	
0.190402	0.317114	2156	
-0.729806	-0.053324	1917	
0.518606	-0.026502	4655	
0.456470	-0.403572	10574	
0.424333	-0.214042	2834	
0.281607	-0.127538	6278	
-0.709665	0.540474	1313	
0.275582	-0.625285	1719	
0.136485	-0.421766	7272	
-0.773536	-0.502915	8656	
-0.093696	0.687816	2725	
0.136264	-0.610537	5013	
-0.975657	-0.046385	9097	
-0.913083	-0.195765	535	
0.666756	0.093393	8046	
0.037236	-0.347101	8149	
0.725119	-0.022845	683	
0.806790	-0.508687	511	
-0.490291	-0.818999	3343	
0.241844	-0.082948	7980	
-0.208801	0.762953	8477	
0.036874	0.318522	3695	
0.494321	-0.051389	9614	
0.049121	-0.662722	5341	
0.571474	-0.337465	3767	
-0.841562	0.084969	4613	
0.439599	0.333119	3338	
0.550800	0.363544	4091	
-0.942050	-0.187637	475	
0.259228	0.372599	2773	
-0.602741	0.638455	4948	
-0.291843	-0.783167	2917	
0.582150	0.182137	5991	
0.864979	-0.426272	9457	
0.210205	0.056186	3170	
0.565103	0.051779	6786	
-0.831313	-0.261257	7834	
-0.801428	0.342275	7715	
0.368142	-0.080736	2500	
0.223831	0.347923	4751	
0.577763	0.179053	4463	
0.536331	0.337938	5646	
0.597478	0.257696	4107	
0.559604	-0.343836	3861	
0.714458	-0.138449	538	
0.075436	0.779512	4061	
-0.857329	-0.145318	8717	
-0.080707	-0.479630	5055	
0.147478	0.157348	9824	
