Coord_x	Coord_y	Velosity_Ux	Velocity_Uy	Velocity_P	Num_el
0.2470288261 	 -0.2700843320 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 282
-0.2714755805 	 0.2384851340 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 283
0.2714749597 	 -0.2384844509 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 284
-0.1881940191 	 -0.2965420262 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 285
0.1881940464 	 0.2965420161 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 286
-0.0497522663 	 -0.8298011198 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 287
-0.7865279204 	 0.5077738261 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 288
0.7865279204 	 -0.5077738261 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 289
0.4872334180 	 -0.1876866383 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 290
-0.4872334180 	 0.1876866384 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 291
-0.1982935956 	 -0.8585885679 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 292
-0.5918434627 	 -0.1652059444 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 293
0.5918434627 	 0.1652059444 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 294
-0.2356137247 	 0.2768649728 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 295
0.2356134609 	 -0.2768647258 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 296
-0.8631615704 	 0.3768844121 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 297
0.8631615704 	 -0.3768844121 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 298
-0.0893347920 	 -0.9051087761 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 299
0.0578330941 	 0.8706146865 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 300
0.4499220332 	 -0.1635711070 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 301
-0.4499220332 	 0.1635711070 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 302
-0.5976424326 	 -0.7336085974 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 303
0.5976424326 	 0.7336085974 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 304
-0.6962757450 	 0.6829366477 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 305
0.6962757453 	 -0.6829366482 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 306
0.1186328131 	 -0.6056416674 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 307
0.3552919750 	 -0.8320675849 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 308
0.1561098667 	 0.5718210783 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 309
0.0443649350 	 -0.4931616473 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 310
0.1366607019 	 -0.0871907417 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 311
-0.1366607019 	 0.0871907417 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 312
-0.0853543459 	 -0.2713282806 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 313
0.0853543459 	 0.2713282806 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 314
-0.0444162355 	 0.4930317397 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 315
-0.1660540744 	 0.0707766610 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 316
0.1660540744 	 -0.0707766610 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 317
0.4671612348 	 -0.1664809851 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 318
-0.4671612348 	 0.1664809851 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 319
0.3558238253 	 0.0240058757 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 320
-0.3558238253 	 -0.0240058757 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 321
