time = 5	Re = 1	rotation = 0.795616
-0.367245	0.178728	569	
0.581485	0.777104	7045	
0.185051	0.776062	5419	
-0.822151	0.468851	8189	
0.140322	0.522940	5656	
0.751142	0.083673	5671	
-0.418258	-0.217485	3327	
-0.749521	-0.403709	5933	
0.132088	0.185777	7952	
-0.796945	0.529707	1049	
0.268114	0.706800	2895	
0.013308	0.408318	4983	
0.897638	0.249198	343	
0.417485	-0.403110	2823	
-0.137601	0.005517	7793	
-0.101651	-0.264826	3085	
-0.282283	0.241657	6729	
-0.211398	0.146076	1613	
-0.839251	-0.518853	4313	
-0.883386	-0.225883	8266	
-0.127483	0.265940	1374	
0.405409	-0.431671	3859	
-0.877093	-0.460261	411	
-0.473707	-0.735173	7893	
0.117388	-0.428974	3449	
-0.768433	0.125514	5543	
0.328711	-0.464370	8977	
0.589117	-0.437138	1102	
-0.778750	0.338659	267	
0.567765	0.244738	7497	
-0.270748	0.086051	8099	
0.469975	0.650411	5127	
0.040242	0.229068	5189	
-0.486075	-0.180257	451	
-0.361930	0.689289	3270	
0.441222	-0.541040	1082	
-0.494112	0.611644	6761	
0.205933	0.538795	6779	
0.147739	-0.860374	3537	
-0.153473	-0.230395	1897	
-0.717700	-0.305922	5985	
0.574816	-0.246016	4161	
0.543052	-0.136830	6394	
0.647836	0.075573	2207	
-0.305603	0.776789	3535	
-0.564437	0.326335	1996	
-0.166199	0.598664	5888	
-0.514622	0.298141	1811	
0.153951	-0.473230	2345	
-0.921991	-0.315556	2949	
-0.598340	-0.193875	3874	
-0.819113	0.212335	4783	
-0.107516	0.851140	8743	
-0.482220	0.143255	5923	
0.373217	0.335635	1855	
-0.227831	0.739598	4780	
0.905657	0.217465	9090	
0.069560	-0.796336	6447	
-0.226926	-0.444595	2669	
-0.863877	0.016843	8197	
-0.097678	-0.477059	8760	
0.302449	0.846375	5531	
-0.212561	-0.094106	3675	
0.288614	-0.406766	5910	
-0.081835	-0.694856	2902	
-0.337469	0.256713	8200	
-0.081507	-0.480369	9410	
-0.032367	-0.703291	8139	
-0.342945	0.581847	3980	
0.453691	-0.646354	6049	
