Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_eps	Time: 1.1050	Mesh (Number of cells): 5013
0.1892588897 	 -0.1315378479 	 -0.0375380692 	 -0.0308246574 	 556
-0.3116947814 	 -0.0235249254 	 -0.0855585709 	 0.0853160245 	 557
-0.6686378695 	 -0.6141012750 	 0.7770602212 	 -0.5675088932 	 558
-0.2379506539 	 -0.4735853203 	 -0.0190526405 	 0.0085534194 	 559
0.8555837406 	 -0.4785286034 	 0.5310940864 	 0.8290688415 	 560
0.1922786626 	 0.1900308286 	 -0.0626970720 	 -0.0445936168 	 561
-0.0470468958 	 -0.7415928358 	 1.4015589349 	 -0.0887374034 	 562
0.3117298891 	 0.7578628731 	 0.6860625221 	 0.2609841635 	 563
0.0018320815 	 0.9610947374 	 2.9916132606 	 0.0021588489 	 564
-0.9021592940 	 0.0876585431 	 0.7792062594 	 -0.7692377386 	 565
0.6023975111 	 -0.5708230278 	 0.5904422210 	 0.4285864158 	 566
0.4830748242 	 0.4894975598 	 0.2951761020 	 0.2073385254 	 567
-0.0148423278 	 0.9099631572 	 1.0743775811 	 -0.0186438796 	 568
-0.0843190656 	 0.5643301711 	 -0.1162388930 	 0.0171768675 	 569
-0.4670555892 	 0.8097060203 	 0.8424311803 	 -0.4238711672 	 570
-0.3144142318 	 -0.7179037677 	 0.5922127814 	 -0.2375809818 	 571
-0.0433186852 	 0.9069418723 	 1.0769430326 	 -0.0562798074 	 572
-0.2469882489 	 -0.1146958188 	 -0.0720793149 	 0.0653744742 	 573
0.8227443298 	 -0.4984155805 	 0.8106649740 	 0.7734633132 	 574
-0.1595693143 	 -0.3720790554 	 -0.1258848491 	 0.0496164260 	 575
-0.2141084089 	 0.6046857640 	 0.2286354257 	 -0.0763138591 	 576
-0.0724979188 	 -0.6627175772 	 0.2533152340 	 -0.0275474697 	 577
-0.5709055783 	 -0.0168535604 	 0.1239705612 	 -0.1239165827 	 578
-0.7142269751 	 0.5407713064 	 0.7429152815 	 -0.5921567554 	 579
-0.1420960668 	 0.5273591227 	 -0.0866368262 	 0.0225398903 	 580
-0.0839569590 	 0.3876998809 	 -0.1190308309 	 0.0251924517 	 581
-0.2208169170 	 0.2211729533 	 -0.0805772258 	 0.0569309787 	 582
-0.3692584232 	 0.5526195014 	 0.2529724633 	 -0.1405470158 	 583
0.1622382035 	 -0.3049848855 	 -0.1011480621 	 -0.0475034230 	 584
-0.0821577551 	 -0.6524799965 	 0.2237861808 	 -0.0279580446 	 585
0.3352639681 	 -0.3326135433 	 -0.0237436800 	 -0.0168556149 	 586
-0.0794165534 	 -0.8027497232 	 1.4170776210 	 -0.1395120130 	 587
0.3263173146 	 0.2879737460 	 -0.0492026475 	 -0.0368910385 	 588
-0.3571889694 	 -0.2005699156 	 -0.0556658772 	 0.0485369506 	 589
-0.2917217799 	 0.7983241550 	 0.7841267579 	 -0.2688987989 	 590
-0.1190998316 	 -0.2084386392 	 -0.0301902499 	 0.0149779062 	 591
0.5572435246 	 -0.6463795722 	 0.6455168662 	 0.4214641511 	 592
0.0912573089 	 0.5138879501 	 -0.1481249430 	 -0.0258988525 	 593
-0.6410690473 	 0.4356393416 	 0.4744839642 	 -0.3924448448 	 594
-0.2108414339 	 0.8788564807 	 0.9772508510 	 -0.2267872695 	 595
0.0775475724 	 0.3820179865 	 -0.1058739178 	 -0.0210622415 	 596
-0.2577630448 	 0.0717607634 	 -0.0719919328 	 0.0693547421 	 597
-0.3446662420 	 -0.5995238522 	 0.3190345006 	 -0.1590094025 	 598
0.9349527512 	 0.0723879143 	 0.8405717459 	 0.8449553886 	 599
-0.3960642399 	 0.5228471917 	 0.2337147191 	 -0.1411235174 	 600
-0.3852015024 	 -0.5778655155 	 0.3144249271 	 -0.1743989794 	 601
0.0189369712 	 0.8889061906 	 1.0791722397 	 0.0267860835 	 602
-0.1945745185 	 -0.1885821560 	 -0.0634233792 	 0.0455430367 	 603
0.0197287755 	 0.7513051617 	 1.3338194822 	 0.0350133408 	 604
-0.3946317669 	 0.5474802457 	 0.2721028649 	 -0.1591097713 	 605
0.5159762102 	 0.7697971984 	 0.8238732757 	 0.4573878584 	 606
0.2293131852 	 -0.1213183884 	 -0.0636050568 	 -0.0562220877 	 607
-0.1315139427 	 -0.8698121777 	 1.1141881574 	 -0.1677823226 	 608
0.3846405857 	 -0.3058752732 	 0.0047017544 	 0.0036802326 	 609
0.3122888088 	 -0.6565300319 	 0.4366307469 	 0.1875541935 	 610
-0.0737227781 	 0.3786651733 	 -0.0961300047 	 0.0183708144 	 611
0.0329897969 	 -0.7718403515 	 1.4697336828 	 0.0627619559 	 612
0.5347909412 	 -0.6713964976 	 0.6587138541 	 0.4110499772 	 613
0.4879018410 	 -0.7686158788 	 0.7906655736 	 0.4225386631 	 614
-0.0847259711 	 -0.8230647149 	 1.3542489725 	 -0.1386737051 	 615
-0.3082354394 	 0.8206226076 	 0.8164954589 	 -0.2867455258 	 616
0.6281571043 	 0.5734811498 	 0.6369328393 	 0.4703119454 	 617
0.0994417687 	 0.7415060620 	 1.3069308072 	 0.1737155560 	 618
0.2384417462 	 -0.0691952863 	 -0.0592599709 	 -0.0569123599 	 619
0.0561628024 	 0.6900246162 	 0.4371896611 	 0.0354669527 	 620
-0.2259424529 	 0.2045007063 	 -0.0784040464 	 0.0581298091 	 621
-0.2990413826 	 -0.6041636780 	 0.2928190066 	 -0.1298957883 	 622
0.3311148238 	 -0.5943386882 	 0.2975106855 	 0.1447940591 	 623
0.1757933680 	 -0.6916617553 	 0.6452155473 	 0.1589364475 	 624
0.3849530401 	 -0.0140049792 	 -0.0661946550 	 -0.0661507103 	 625
0.4223537375 	 -0.0068547952 	 -0.0424185364 	 -0.0424126943 	 626
0.2448346597 	 0.0747489104 	 -0.0650875708 	 -0.0622513200 	 627
-0.4124510856 	 -0.0505655068 	 -0.0476053949 	 0.0472513702 	 628
-0.5735200911 	 -0.7412773709 	 0.8646886350 	 -0.5160928090 	 629
-0.1963824566 	 -0.4145259155 	 -0.1018579980 	 0.0436088404 	 630
-0.0119458917 	 0.7316747481 	 0.7023070596 	 -0.0114649333 	 631
0.3662362814 	 -0.5737640862 	 0.2884171584 	 0.1551802707 	 632
-0.4675039247 	 -0.2162882557 	 0.0435234128 	 -0.0395011618 	 633
-0.2168232175 	 0.5851982996 	 0.1682812739 	 -0.0584669103 	 634
-0.6861164286 	 -0.4129098308 	 0.5300335727 	 -0.4541373012 	 635
-0.2037291892 	 0.6432618384 	 0.3765346288 	 -0.1136885985 	 636
-0.5019774129 	 -0.5056258432 	 0.3434818987 	 -0.2419977022 	 637
-0.1072859752 	 -0.8548033650 	 1.2121405392 	 -0.1509515080 	 638
0.5689918691 	 -0.0804779263 	 0.1282069281 	 0.1269433969 	 639
0.1132511896 	 -0.7153157642 	 1.0409119757 	 0.1627742156 	 640
0.2046621912 	 -0.4734345813 	 -0.0592193619 	 -0.0234981249 	 641
-0.2828367718 	 -0.2882108521 	 -0.0726841630 	 0.0509093097 	 642
-0.4354809309 	 -0.7396097931 	 0.6802576753 	 -0.3451276734 	 643
0.1608197236 	 0.1573869797 	 -0.0276568854 	 -0.0197663544 	 644
-0.0226672519 	 -0.7568698746 	 1.4102570750 	 -0.0422166075 	 645
0.2727919635 	 -0.0792136668 	 -0.0789602053 	 -0.0758282336 	 646
0.4312382608 	 -0.5542580564 	 0.3255456577 	 0.1999089003 	 647
-0.6674521728 	 0.4552394443 	 0.5443969201 	 -0.4497454839 	 648
0.0888738242 	 -0.7628386235 	 1.3877379241 	 0.1605917760 	 649
-0.1113103484 	 -0.5401960671 	 -0.1114353417 	 0.0224889491 	 650
0.0658844053 	 0.4042444520 	 -0.0838255520 	 -0.0134840794 	 651
0.1678979544 	 -0.6736989310 	 0.5494575439 	 0.1328715868 	 652
-0.0696256501 	 -0.2847084250 	 -0.0434422588 	 0.0103197812 	 653
0.2940817748 	 0.7369196445 	 0.6477218667 	 0.2400855995 	 654
0.0832317190 	 0.3703197113 	 -0.1098530448 	 -0.0240892301 	 655
-0.0444872733 	 0.7436062991 	 1.3322431884 	 -0.0795614393 	 656
-0.6145253826 	 0.3042755030 	 0.3034389590 	 -0.2719304500 	 657
-0.1852754263 	 -0.6167900687 	 0.2488690867 	 -0.0715973617 	 658
-0.6096755732 	 -0.0467271015 	 0.1845215531 	 -0.1839818653 	 659
0.2584498534 	 -0.0746568573 	 -0.0727005445 	 -0.0698452562 	 660
-0.1417443775 	 0.3121963286 	 -0.1034506609 	 0.0427675973 	 661
-0.3627240877 	 -0.8830376622 	 0.8398570645 	 -0.3475303157 	 662
0.1487549683 	 -0.6125981628 	 0.1737207881 	 0.0409934073 	 663
