time = 0.001	Re = 1	rotation = 0
0.226560	-0.863721	7087	
0.430440	0.616786	529	
0.320153	0.560420	4542	
0.256983	0.169835	3942	
0.134593	-0.239235	1706	
0.038024	0.546486	7625	
0.452164	0.332189	679	
0.710589	0.105258	1379	
0.696949	0.269931	489	
0.757419	-0.018845	1955	
0.188405	-0.377092	4448	
0.188872	0.790396	5509	
0.646770	-0.005687	4222	
0.369503	-0.692484	7405	
0.119908	-0.738251	7739	
0.228838	0.705039	5730	
0.244829	-0.287275	8898	
0.931913	-0.040341	7807	
0.592745	0.656876	7786	
0.142923	0.067303	4428	
0.098891	0.085466	3510	
0.594471	0.091584	2103	
0.364981	0.696512	2557	
0.310162	0.527545	2596	
0.449093	0.610394	3443	
0.691386	0.515232	4913	
0.780250	0.501913	5904	
0.391475	-0.605509	5890	
0.866539	-0.164140	6518	
0.925109	0.283634	9181	
0.516497	0.133965	4224	
0.535729	-0.726996	457	
0.670925	-0.643237	879	
0.154613	-0.859978	2342	
0.149963	0.147838	2153	
0.357771	0.867323	881	
0.367179	0.851916	994	
0.058007	-0.560178	1264	
0.259995	-0.257825	1932	
0.583983	-0.215962	3906	
0.268147	-0.026380	9014	
0.675339	-0.616329	1099	
0.150040	-0.675647	2181	
0.114262	-0.418592	5698	
0.695639	-0.335142	5862	
0.095716	0.259708	4272	
0.774948	-0.190692	8043	
0.666995	0.177395	2235	
0.643487	-0.156879	7762	
0.477729	0.629422	5619	
0.545292	0.631791	6194	
0.729887	-0.549964	5761	
0.793855	0.257438	4528	
0.233303	0.031514	1368	
0.240471	0.443205	8838	
0.301859	-0.006813	9026	
0.136139	-0.064242	6394	
0.158879	-0.617534	6909	
0.770046	-0.215632	8409	
0.222941	-0.417030	7692	
0.771845	0.523822	1054	
0.082203	0.661991	9234	
0.171315	-0.727307	2042	
0.533194	-0.262582	4265	
0.143991	0.737314	2123	
0.505899	-0.303090	442	
0.533339	0.617891	6169	
0.171666	0.731182	2768	
0.585676	0.230478	8068	
0.587985	-0.557950	6943	
0.184693	-0.045480	946	
0.355824	-0.518683	6230	
0.581981	0.711788	7141	
0.557711	0.812489	4662	
0.201885	0.174471	4389	
0.355165	0.487055	4292	
0.449704	-0.176087	5721	
0.142688	-0.291034	2778	
0.667821	0.016877	4751	
0.519428	0.295812	5046	
0.275279	-0.558783	7433	
0.081405	0.407219	2859	
0.646867	-0.258700	3573	
0.076345	-0.441017	2805	
0.695271	-0.136909	7763	
0.919860	0.129972	886	
0.711288	0.012828	1031	
0.411422	-0.705817	7078	
0.402440	0.595022	8653	
0.001096	0.909189	8213	
0.662135	-0.379367	7209	
0.489349	-0.472344	2730	
0.436208	0.276002	1265	
0.673723	-0.355127	6360	
0.375202	-0.176326	2019	
0.149541	0.826716	6871	
0.472180	0.213937	4880	
0.179683	0.094189	1139	
0.739166	0.334097	3287	
0.611497	-0.741549	675	
0.540438	0.734327	5992	
0.658455	-0.089859	4375	
0.466285	-0.577192	4874	
0.387239	-0.766976	8077	
0.192005	0.578885	5133	
0.472865	0.675006	7302	
0.322615	-0.233931	2906	
0.654996	0.065084	4724	
0.789818	0.532206	1054	
0.575565	0.160803	5070	
0.734582	0.220392	2045	
0.558987	-0.005168	6760	
0.436932	-0.162862	5653	
0.586924	0.366979	3798	
0.222895	0.123492	5980	
0.110362	-0.441646	2628	
0.552645	-0.095590	7342	
0.440694	0.307957	434	
0.348344	-0.230018	2970	
0.154151	0.780856	6980	
0.236351	-0.856733	6643	
0.149015	0.641583	8033	
0.929390	-0.289133	7463	
0.354194	0.701552	2557	
0.640898	-0.107674	3383	
0.293362	0.339096	5019	
0.803981	-0.230037	7696	
0.464574	0.284078	8341	
0.588247	0.465864	6549	
0.855730	0.082631	1724	
0.066525	-0.231359	1937	
0.197851	0.959214	1213	
0.703015	0.597769	4892	
0.054314	0.445261	377	
0.484216	0.589369	3170	
0.715410	-0.647878	7281	
0.918875	0.154494	886	
0.385181	-0.544973	7928	
0.735740	0.218992	2045	
0.456116	-0.357149	6057	
0.189453	0.747172	4152	
0.074833	-0.370627	3179	
0.591146	0.359577	3798	
0.270377	-0.485294	7065	
0.341940	-0.832348	6739	
0.939325	-0.190617	1893	
0.200189	-0.312572	6116	
0.195301	-0.488517	7218	
0.757072	-0.524713	8393	
0.699030	0.186032	1179	
0.145610	0.527272	7019	
0.290420	-0.924468	3764	
0.390696	0.465863	7182	
0.542191	-0.050995	6090	
0.046030	0.301309	725	
0.872503	-0.077167	6496	
0.522621	-0.644943	6758	
0.121346	0.227574	401	
0.715985	-0.425709	6913	
0.032795	-0.528406	7729	
0.103697	0.643881	9004	
0.751475	-0.425994	7677	
0.329604	0.859367	1374	
0.713147	0.623436	1196	
0.454416	-0.345929	6901	
0.138557	0.250618	563	
0.125628	0.473995	599	
0.546454	-0.085886	5618	
0.753133	0.213798	1868	
0.102593	-0.161790	3208	
0.400884	-0.200112	3731	
0.471294	-0.021278	4319	
0.470890	-0.412874	2748	
0.271967	-0.551411	1758	
0.566731	0.287639	8832	
0.279541	-0.382547	1628	
0.499142	0.136620	3472	
0.545849	-0.480453	2797	
0.145710	-0.263401	587	
0.784311	0.191482	4572	
0.181339	-0.533746	9203	
0.903984	-0.208528	2432	
0.727759	-0.029851	9207	
