Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_y	Time: 12.6300	Mesh (Number of cells): 1991
0.2686615511 	 -0.1108548344 	 -0.0916698097 	 -0.0916697309 	 191
-0.2686615511 	 0.1108548344 	 0.0916703861 	 0.0916703067 	 192
0.8858500891 	 0.2757377645 	 0.8139927884 	 0.8139926284 	 193
-0.8858501005 	 -0.2757377659 	 -0.8139928583 	 -0.8139926982 	 194
-0.1409075898 	 0.2880832490 	 0.0398552847 	 0.0398552441 	 195
0.1409075898 	 -0.2880832490 	 -0.0398550526 	 -0.0398550122 	 196
0.3472210569 	 -0.0348048979 	 -0.1282915182 	 -0.1282913695 	 197
-0.3472210569 	 0.0348048979 	 0.1282917369 	 0.1282915880 	 198
0.0744374543 	 0.8489969874 	 0.1098644102 	 0.1098643747 	 199
-0.0744374543 	 -0.8489969874 	 -0.1098644944 	 -0.1098644588 	 200
0.3915079780 	 0.8247918437 	 0.3648190709 	 0.3648190071 	 201
-0.3915079780 	 -0.8247918437 	 -0.3648191275 	 -0.3648190637 	 202
0.1760063819 	 0.2899519869 	 -0.0923679599 	 -0.0923677766 	 203
-0.1760063819 	 -0.2899519869 	 0.0923679473 	 0.0923677640 	 204
0.4234733628 	 0.8380670023 	 0.4062273528 	 0.4062273008 	 205
-0.4234733628 	 -0.8380670023 	 -0.4062273874 	 -0.4062273354 	 206
-0.1877556052 	 0.8796207459 	 -0.1969422584 	 -0.1969422627 	 207
0.1877556052 	 -0.8796207459 	 0.1969423583 	 0.1969423625 	 208
0.0690896961 	 -0.2260535823 	 -0.0001138534 	 -0.0001138540 	 209
-0.0690896961 	 0.2260535823 	 0.0001157041 	 0.0001157033 	 210
0.2659444330 	 0.0352902457 	 -0.0995341395 	 -0.0995340213 	 211
-0.2659444330 	 -0.0352902457 	 0.0995344962 	 0.0995343777 	 212
0.2338750020 	 0.2583691424 	 -0.1090640493 	 -0.1090638305 	 213
-0.2338750020 	 -0.2583691424 	 0.1090640519 	 0.1090638331 	 214
0.2781294441 	 -0.0773561443 	 -0.0987185755 	 -0.0987184867 	 215
-0.2781294441 	 0.0773561443 	 0.0987191291 	 0.0987190398 	 216
0.2327110658 	 -0.1216207456 	 -0.0625620608 	 -0.0625620098 	 217
-0.2327110658 	 0.1216207456 	 0.0625625181 	 0.0625624668 	 218
0.2605977449 	 -0.0487883009 	 -0.0870278659 	 -0.0870277879 	 219
-0.2605977449 	 0.0487883009 	 0.0870284121 	 0.0870283337 	 220
-0.5591474085 	 -0.8042838955 	 -0.5711165648 	 -0.5711165638 	 221
0.5591474085 	 0.8042838955 	 0.5711165639 	 0.5711165630 	 222
-0.1968595752 	 0.1788463891 	 0.0465616241 	 0.0465615847 	 223
0.1968595752 	 -0.1788463891 	 -0.0465612090 	 -0.0465611699 	 224
0.0192945982 	 -0.7780895576 	 -0.0123468411 	 -0.0123468272 	 225
-0.0192945982 	 0.7780895576 	 0.0123467364 	 0.0123467227 	 226
-0.8847142199 	 -0.2057429317 	 -0.7989752474 	 -0.7989750628 	 227
0.8847142195 	 0.2057429318 	 0.7989751841 	 0.7989749995 	 228
0.0473137225 	 -0.7656473336 	 0.0713649055 	 0.0713649107 	 229
-0.0473137225 	 0.7656473336 	 -0.0713643604 	 -0.0713643660 	 230
-0.1360636411 	 -0.1977191549 	 0.0289851624 	 0.0289851158 	 231
0.1360636411 	 0.1977191549 	 -0.0289850988 	 -0.0289850522 	 232
-0.9111169150 	 0.0502985578 	 -0.8337520351 	 -0.8337519145 	 233
0.9111169150 	 -0.0502985578 	 0.8337519473 	 0.8337518268 	 234
-0.0359747616 	 0.9795215125 	 -0.0325835827 	 -0.0325835830 	 235
0.0359747616 	 -0.9795215125 	 0.0325835845 	 0.0325835848 	 236
-0.9293643358 	 0.0191798125 	 -0.8613176092 	 -0.8613175061 	 237
0.9293643358 	 -0.0191798125 	 0.8613175398 	 0.8613174369 	 238
0.8258672567 	 0.3680710844 	 0.7375923447 	 0.7375921329 	 239
-0.8258673213 	 -0.3680710837 	 -0.7375925266 	 -0.7375923147 	 240
