Time	U_x	U_y	P	Max.Res.
0.103	-0.002859698583	-0.0001122774295	-0.004570769989	0.5171728431
0.104	-0.00290074539	-0.000112735575	-0.004711144906	0.3494561901
0.105	-0.002941740441	-0.0001131650061	-0.0048454394	0.2660648726
0.106	-0.002982779816	-0.0001135807041	-0.004979832689	0.302270351
0.107	-0.003023839727	-0.0001139691481	-0.005107600162	0.4304576548
0.108	-0.00306499903	-0.000114349785	-0.005231727359	0.625598902
0.109	-0.003106300906	-0.0001147213148	-0.005351863533	0.6531537545
0.11	-0.00314779238	-0.0001150874077	-0.005467729317	0.6289727219
0.111	-0.003189523016	-0.0001154525162	-0.005579049627	0.3854670259
0.112	-0.003231587948	-0.0001158270733	-0.005688055797	0.4235015711
0.113	-0.003273946869	-0.0001161940096	-0.005789428782	0.6101083514
0.114	-0.003316746551	-0.0001165870143	-0.005887755384	0.5037178332
0.115	-0.003359983822	-0.0001169871756	-0.005980250527	0.5757562463
0.116	-0.003403704835	-0.0001174048026	-0.006066722923	1.42828945
0.117	-0.003448014097	-0.0001178546747	-0.006148712281	0.7327713503
0.118	-0.003492896526	-0.0001183206978	-0.006224084964	0.7212030558
0.119	-0.003538459131	-0.0001188259846	-0.006294268813	0.4313727354
0.12	-0.003584676513	-0.0001193531045	-0.006357595959	0.3103812332
0.121	-0.003631578262	-0.0001199130021	-0.006414193994	0.4702339164
0.122	-0.003679263319	-0.000120522587	-0.006465154931	0.9146411786
0.123	-0.003727686211	-0.0001211600461	-0.0065095875	2.173338468
0.124	-0.003776865061	-0.0001218362569	-0.00654791598	0.7054924684
0.125	-0.003826811459	-0.0001225535401	-0.006580590573	0.4854879556
0.126	-0.00387761571	-0.0001233280217	-0.006608618629	0.3367884526
0.127	-0.003929128258	-0.0001241182989	-0.006631797879	0.2582860584
0.128	-0.003981510683	-0.0001249766696	-0.006651564444	0.2101849014
0.129	-0.004034687763	-0.0001258671941	-0.006668318736	0.17782361
0.13	-0.004088568855	-0.0001267808346	-0.006682757417	0.1545784039
0.131	-0.004143312389	-0.0001277626098	-0.006695840166	0.1734882851
0.132	-0.004198831862	-0.0001287727117	-0.006708186704	0.2027662818
0.133	-0.00425512014	-0.0001298183226	-0.00672057813	0.1974697308
