time = 500	Re = 1	rotation = 79.5774
-0.335793	-0.784433	7485	
-0.393641	0.231120	6045	
0.400895	0.062101	480	
0.798041	-0.192547	3555	
-0.889928	0.021626	7788	
0.776834	-0.554952	8211	
0.332953	0.504494	1042	
0.869661	-0.358892	9140	
-0.775299	0.418783	8707	
-0.625919	0.020533	1115	
-0.492645	-0.265752	6052	
0.266055	0.735256	6459	
-0.292642	0.486154	4446	
-0.181598	0.489645	4727	
0.878471	0.439139	5307	
-0.603784	0.765080	1607	
0.715038	0.327980	753	
0.332074	0.012719	7648	
0.366653	-0.670362	492	
-0.126269	0.565469	8408	
0.725912	-0.390909	3051	
0.545351	0.696618	4019	
-0.440451	-0.409585	6895	
-0.116406	0.532925	6893	
-0.542263	0.128908	4359	
0.108770	0.104684	6584	
-0.654459	-0.103251	5338	
-0.164095	-0.061535	2812	
0.576830	0.740550	8563	
0.215724	0.027029	2803	
0.336449	0.505670	2210	
-0.849583	-0.374563	3758	
-0.553785	0.486567	2947	
-0.364731	-0.153269	4960	
0.188288	-0.668743	1813	
0.740678	-0.192845	1868	
0.286349	0.658161	7683	
0.943375	-0.229313	3094	
-0.487352	0.073442	8562	
-0.529022	-0.333227	7430	
0.109182	0.349580	8319	
0.346159	0.324721	9445	
-0.425104	0.862351	8976	
-0.710912	-0.593976	7139	
-0.754193	-0.558536	8953	
-0.619229	-0.728197	9234	
0.164942	0.874759	5594	
0.489999	0.617174	7663	
-0.420983	0.537552	3686	
-0.259791	0.287219	6125	
-0.039713	-0.275380	7810	
-0.487331	0.343303	3365	
-0.479426	0.533933	9308	
-0.320057	0.668809	9391	
0.210428	-0.727530	1514	
0.387544	0.294656	3222	
0.454406	0.695994	8875	
-0.388792	-0.343680	2048	
0.785678	0.133632	8621	
-0.678079	-0.270878	9048	
0.489308	0.612474	7303	
-0.034473	0.342375	2468	
0.650791	0.673896	494	
0.791170	0.396929	6166	
0.003361	0.078923	489	
-0.255648	0.034236	6207	
-0.341542	0.477495	7465	
-0.793677	0.079881	5688	
0.666406	-0.104002	4287	
0.746938	0.190388	5417	
0.519160	-0.691123	6555	
-0.150552	-0.917197	8105	
-0.291751	0.674785	5898	
-0.744140	0.471881	5489	
0.194586	-0.947369	3036	
0.435777	0.190446	1395	
-0.253855	-0.878441	8748	
-0.026785	-0.931422	1397	
-0.441268	0.752236	3691	
-0.216536	-0.053363	7855	
-0.665792	-0.659049	2676	
0.811099	-0.454635	8142	
0.488292	0.024631	776	
0.064119	-0.588807	7394	
-0.096330	0.064016	4037	
-0.415316	-0.826623	3024	
0.579060	0.397392	4185	
-0.125017	-0.463021	2013	
0.737184	-0.246067	2976	
0.302421	0.196412	5182	
0.180669	0.774348	8888	
0.028676	-0.668551	7045	
0.096791	0.546915	6788	
0.803670	0.052842	2899	
-0.134105	0.821302	6834	
-0.580207	-0.715416	866	
0.322965	-0.771013	6169	
-0.215431	0.138217	5414	
0.026565	0.479087	8392	
-0.046979	-0.037641	696	
0.299975	-0.230719	4512	
-0.516001	0.455059	2884	
-0.690549	0.405830	4634	
0.322579	0.335653	4504	
-0.066795	0.931896	1358	
0.248890	-0.633341	8728	
-0.516629	0.557971	2638	
0.003297	0.467714	409	
0.034029	-0.754934	1658	
0.066792	0.413483	2920	
-0.762244	0.312856	5251	
-0.177012	0.727273	6302	
-0.537581	-0.219464	7502	
-0.558107	-0.596380	4181	
-0.232253	0.070179	6920	
-0.438717	-0.419604	6895	
-0.791797	0.480775	8600	
0.554826	0.813518	2430	
-0.322528	-0.025869	4460	
0.631670	0.137946	5583	
-0.425925	0.274335	493	
-0.280699	-0.184586	7633	
-0.606751	0.280304	4089	
-0.177541	0.535546	661	
-0.216667	-0.651032	7875	
0.060816	0.452253	4072	
-0.575835	-0.324418	8817	
-0.514780	-0.268320	4054	
0.506600	0.493558	456	
0.085569	-0.925478	9443	
0.157061	0.660585	4301	
-0.758229	0.329867	5251	
-0.213404	0.697757	7588	
0.062376	-0.901877	6799	
0.405652	-0.649891	8656	
0.070472	0.652911	5475	
-0.429031	-0.152477	1934	
-0.603117	-0.439507	2116	
0.259872	-0.410686	9420	
0.335167	-0.338271	2461	
0.595572	0.598912	3160	
0.359158	0.224230	5966	
0.151941	0.048925	6349	
0.750007	-0.313854	3483	
0.105054	0.957377	3875	
0.345318	-0.851549	6330	
0.102030	0.542801	7177	
0.760869	-0.081233	4076	
-0.829911	-0.229503	1197	
-0.160657	-0.647130	7286	
-0.396723	0.726002	6774	
-0.313215	0.344513	9023	
0.516300	0.348541	8826	
0.013526	-0.953403	9500	
-0.398970	0.441904	3515	
0.633841	-0.435707	5652	
-0.392640	-0.178110	6716	
-0.263437	-0.136520	2777	
0.299918	-0.627375	5354	
0.369303	-0.006527	7757	
0.626634	-0.166190	3437	
-0.153529	-0.280801	4593	
0.309638	0.279050	6206	
-0.260251	-0.139087	2777	
0.290158	-0.733658	4568	
0.301898	-0.832581	8446	
0.664105	-0.230264	6924	
0.924651	0.297288	2229	
-0.744945	0.289618	5230	
0.649555	0.028292	1981	
0.018527	-0.450399	838	
0.450411	-0.706138	4513	
0.488988	0.194536	2908	
0.080686	0.741600	2244	
0.022564	0.853576	6172	
-0.232490	0.366205	8357	
-0.036738	-0.976378	4788	
-0.854160	-0.357497	805	
-0.439990	-0.330340	2115	
0.140890	0.751082	6398	
-0.911233	-0.322519	250	
0.725848	0.589795	3197	
0.134859	0.648612	8618	
0.765274	-0.066445	1945	
0.231341	0.342963	4598	
-0.351151	0.683193	6548	
0.349288	0.321407	1468	
-0.204391	-0.684594	7948	
-0.581820	0.289755	3384	
0.515250	0.748314	1676	
0.950733	0.118277	8857	
0.532025	0.051458	4516	
0.402640	0.421760	4995	
-0.003418	0.925416	1649	
-0.145016	0.683368	5739	
0.267466	0.456801	8530	
-0.737731	-0.626231	3293	
-0.500608	0.420918	510	
0.252322	0.241515	8633	
-0.529391	0.095779	2744	
0.536262	-0.691978	6555	
-0.006080	-0.837307	7599	
-0.463081	0.088780	5602	
-0.222875	-0.819059	9395	
-0.133726	0.638288	2261	
-0.005921	-0.864891	8839	
-0.922118	-0.085872	8806	
-0.493580	0.808367	8800	
0.026506	0.441049	7344	
-0.459872	0.201624	863	
0.653117	-0.046285	7186	
