time = 0.001	Re = 1	rotation = 0
0.668606	0.091835	711	
0.588812	0.792960	1040	
0.575078	-0.156362	2541	
0.702952	-0.285585	550	
0.156653	0.368251	1368	
0.034071	0.770415	6658	
0.844854	0.020256	5240	
0.127689	0.242946	2717	
0.239337	0.261742	6186	
0.476946	0.171187	2294	
0.253626	-0.597979	1894	
0.637856	0.521487	5528	
0.359111	0.417795	3562	
0.587375	0.619187	6632	
0.204072	0.592794	3387	
0.266408	-0.403471	5808	
0.375994	-0.515801	6916	
0.684553	0.338474	868	
0.496915	-0.655609	3318	
0.311486	0.777231	3287	
0.697274	-0.073312	2479	
0.264620	0.151068	3215	
0.194901	0.482463	4877	
0.748224	-0.005286	6493	
0.087383	-0.227105	3976	
0.729448	0.156421	6226	
0.559774	0.129333	1337	
0.051170	-0.791842	1476	
0.614438	0.463267	4048	
0.244032	0.927951	5070	
0.741238	-0.523977	1968	
0.644420	-0.320487	4134	
0.727481	0.169185	6226	
0.756654	-0.497072	1376	
0.863476	-0.304604	1152	
0.242637	0.462130	523	
0.392431	-0.216134	2782	
0.794506	0.412122	5026	
0.440777	-0.585408	2388	
0.664965	0.507780	620	
0.118042	0.569461	1557	
0.491591	0.708230	6520	
0.134819	0.930179	750	
0.280114	0.805160	6187	
0.444121	-0.265908	2152	
0.789770	-0.065761	696	
0.075567	0.657682	563	
0.790462	0.029986	1458	
0.009683	-0.727286	404	
0.711991	0.181715	5972	
0.700045	-0.278131	646	
0.629377	-0.130347	517	
0.413801	-0.169935	1230	
0.032056	-0.878010	4358	
0.849319	0.391051	4612	
0.230412	-0.763747	1444	
0.587967	0.795912	1040	
0.920272	-0.267511	674	
0.930839	0.091559	3090	
0.574092	-0.642729	3960	
0.115861	-0.511248	2942	
0.124289	-0.553417	1930	
0.539813	0.736510	5880	
0.228857	-0.732102	1532	
0.128697	-0.299350	945	
0.252700	-0.854492	6066	
0.644479	-0.497576	3296	
0.450224	-0.423399	6814	
0.921192	-0.099582	6418	
0.535802	-0.094539	1041	
0.326118	-0.399621	4124	
0.266788	-0.600941	5038	
0.492632	-0.309724	1600	
0.330601	-0.867586	408	
0.013865	0.823314	2768	
0.413758	0.354089	2332	
0.452399	-0.598725	3822	
0.481375	-0.816544	5440	
0.229276	0.370830	578	
0.526413	0.100109	5359	
0.904827	0.302455	1050	
0.185448	0.791822	5998	
0.126728	-0.204024	4989	
0.760049	0.125895	4934	
0.730478	-0.614308	5792	
0.392967	0.849680	5596	
0.251627	-0.684232	5806	
0.062036	-0.799995	4896	
0.117820	-0.287370	675	
0.266284	0.614837	1723	
0.163559	0.753679	2979	
0.375350	0.282266	6648	
0.206064	-0.385654	3716	
0.245278	-0.597808	1894	
0.074895	-0.273572	6838	
0.823753	-0.449149	3552	
0.368491	0.522873	5388	
0.695947	-0.175133	2839	
0.164319	0.787546	3710	
0.575062	-0.486464	4440	
0.236790	-0.103229	3635	
0.403147	-0.862239	6466	
0.496548	-0.346195	1190	
0.181476	-0.667421	4816	
0.240490	-0.558943	3800	
0.709701	0.539268	3650	
0.363482	-0.681213	4136	
0.644734	-0.334338	4420	
0.005315	-0.879329	2135	
0.595584	-0.290358	3208	
0.033772	-0.834248	5101	
0.363224	-0.506455	6488	
0.493591	-0.695434	4564	
0.616941	0.479016	3278	
0.601714	0.190395	2803	
0.736985	0.451567	6354	
0.279172	0.594508	3381	
0.247618	0.654102	3400	
0.718981	-0.353269	3220	
0.674683	0.346381	868	
0.647210	0.345778	4944	
0.577413	0.554756	4610	
0.143529	-0.397382	1148	
0.755868	-0.314158	5368	
0.603649	0.242785	1898	
0.298614	-0.078181	519	
0.684799	0.547318	3618	
0.647218	-0.228522	1702	
0.031575	0.802016	1512	
0.009375	-0.795220	3403	
0.055981	0.901912	6232	
0.523365	-0.238809	2426	
0.446547	-0.810606	5684	
0.771241	-0.443342	4588	
0.139133	0.402882	5991	
0.388169	0.111358	2629	
0.356440	0.263437	3060	
0.462583	0.292658	1642	
0.609537	-0.598099	5238	
0.337841	-0.393494	702	
0.230306	-0.885059	552	
0.948443	-0.047994	6936	
0.265930	-0.709129	884	
0.643419	-0.506846	4496	
0.315022	0.805958	4293	
0.922094	0.275681	1526	
0.097896	-0.478178	1030	
0.177930	0.240107	3344	
0.552440	-0.544259	5082	
0.227157	-0.466108	6668	
0.897057	0.129254	6892	
0.125811	-0.589977	1938	
0.394161	-0.323437	2002	
0.366480	0.732917	1882	
0.127087	0.493376	1355	
0.252473	0.298063	2146	
0.549237	0.286398	2012	
0.570423	-0.452645	2870	
0.220824	-0.692835	5788	
0.759873	0.585437	3100	
0.550338	0.064651	5967	
0.361106	-0.848300	954	
0.205499	-0.150295	1284	
0.652514	0.105292	6792	
0.251200	-0.351895	4190	
0.221330	-0.535367	4546	
0.927958	0.006899	874	
0.196374	-0.945844	1854	
0.517121	0.292981	2156	
0.471207	0.316398	1700	
0.000717	-0.970438	3775	
0.802734	0.227404	1694	
0.755738	-0.243193	5320	
0.600934	-0.061660	5137	
0.117492	0.626447	6497	
0.105373	0.929022	2074	
0.775427	0.594586	3100	
0.781491	0.139412	2698	
0.726851	-0.085701	2871	
0.802216	0.487062	940	
0.431253	0.062390	1023	
0.470647	0.395988	1026	
0.541822	0.084681	3735	
0.062131	0.622518	5171	
0.286454	0.803301	3457	
0.642234	0.527737	1366	
0.312511	-0.687803	2072	
0.651467	-0.325838	3704	
0.430235	0.698673	4026	
0.924292	0.012500	874	
0.144179	-0.207531	2715	
0.148975	-0.754510	1750	
0.266680	0.542184	1804	
0.528320	0.745981	4356	
0.143078	0.886206	6014	
0.211302	-0.910140	6358	
0.404422	-0.869763	6896	
0.711614	0.139668	5064	
0.151386	0.254682	3065	
0.263347	0.860222	3796	
0.373449	0.543264	6826	
0.339843	-0.563744	5404	
0.221781	0.460005	4379	
0.576657	-0.368658	3762	
0.063825	0.696126	655	
0.101374	-0.426548	5032	
0.302878	0.289654	2110	
0.748973	0.215248	2660	
0.369941	0.169280	2262	
0.157281	-0.924472	3138	
0.392753	-0.691740	5460	
0.176935	-0.600242	1478	
0.575139	-0.085874	1657	
0.718119	-0.073900	1583	
0.307307	0.271736	1736	
0.247767	0.350116	402	
0.252567	0.438938	3362	
