time,rotation,gamma,N1,N2,exp,,Re = 90
0,0,1,1123,0
31.999,5.0928,0.388112,794,350,0.53962074852007
32.199,5.12463,0.398075,799,344,0.53810566103487
32.399,5.15647,0.406884,797,336,0.53670535442452
32.599,5.1883,0.417989,804,330,0.53540714088028
32.799,5.22013,0.428061,799,320,0.53423295947147
32.999,5.25196,0.456835,810,302,0.53317123987676
33.199,5.28379,0.460654,826,305,0.53240787747799
33.399,5.31562,0.47106,826,297,0.53169033870321
33.599,5.34745,0.477171,825,292,0.53108403531618
33.799,5.37928,0.473118,822,294,0.53054490496302
33.999,5.41111,0.47482,820,292,0.52997063591339
34.199,5.44294,0.480472,815,286,0.52941912955425
34.399,5.47478,0.485307,834,289,0.52892965825871
34.599,5.50661,0.49065,837,286,0.52849343167612
34.799,5.53844,0.483986,834,290,0.52811499735936
34.999,5.57027,0.464317,831,304,0.52767370738577
35.199,5.6021,0.458111,818,304,0.52704014031191
35.399,5.63393,0.453083,813,306,0.52635084890879
35.599,5.66576,0.425778,802,323,0.5256181704197
35.799,5.69759,0.425267,801,323,0.52461976871551
35.999,5.72942,0.43986,820,319,0.52362624102835
36.199,5.76125,0.414763,805,333,0.52278857861807
36.399,5.79309,0.416301,808,333,0.52170832283189
36.599,5.82492,0.390775,799,350,0.52065424960357
36.799,5.85675,0.370629,784,360,0.51935545710753
36.999,5.88858,0.366284,774,359,0.51786819253646
37.199,5.92041,0.367867,779,360,0.51635235061109
37.399,5.95224,0.362754,772,361,0.51486749710498
37.599,5.98407,0.369244,788,363,0.51334636213393
37.799,6.0159,0.358952,778,367,0.51190533851259
37.999,6.04773,0.349164,767,370,0.51037580512747
38.199,6.07956,0.364111,783,365,0.50876368707619
38.399,6.1114,0.381883,778,348,0.50731716020543
38.599,6.14323,0.390925,797,349,0.50606281860338
38.799,6.17506,0.403509,800,340,0.50491144041734
38.999,6.20689,0.430346,806,321,0.50389741601317
39.199,6.23872,0.438469,789,308,0.50316190185304
39.399,6.27055,0.428571,795,318,0.50251497283451
39.599,6.30238,0.433962,798,315,0.50177553310616
39.799,6.33421,0.457627,817,304,0.5010973977751
39.999,6.36604,0.472744,824,295,0.50066269379735
40.199,6.39787,0.468444,826,299,0.50038350685938
40.399,6.42971,0.470536,836,301,0.50006411179078
40.599,6.46154,0.462847,817,300,0.49976883067287
40.799,6.49337,0.455685,813,304,0.49939961236615
40.999,6.5252,0.450667,816,309,0.49896246624248
41.199,6.55703,0.447227,809,309,0.49847951158006
41.399,6.58886,0.433895,808,319,0.49796698646426
41.599,6.62069,0.442565,810,313,0.49732626659962
41.799,6.65252,0.414462,802,332,0.49677865393362
41.999,6.68435,0.404741,800,339,0.49595548739428
42.199,6.71619,0.397548,798,344,0.49504334252034
42.399,6.74802,0.385289,791,351,0.49406838909514
42.599,6.77985,0.394046,796,346,0.49298059520419
42.799,6.81168,0.39292,787,343,0.49199124925214
42.999,6.84351,0.38475,790,351,0.49100053675962
43.199,6.87534,0.374113,775,353,0.48993803139203
43.399,6.90717,0.371278,783,359,0.48877978107811
43.599,6.939,0.372073,791,362,0.48760476326733
43.799,6.97083,0.382716,784,350,0.48644944563465
43.999,7.00266,0.373807,792,361,0.48541211117831
44.199,7.0345,0.375439,784,356,0.48429606006652
44.399,7.06633,0.374564,789,359,0.48320748946586
44.599,7.09816,0.376419,788,357,0.4821210545712
44.799,7.12999,0.401408,796,340,0.48106403402549
44.999,7.16182,0.409408,809,339,0.48026747368523
45.199,7.19365,0.411354,808,337,0.47955887894838
45.399,7.22548,0.419298,809,331,0.4788768301589
45.599,7.25731,0.437168,812,318,0.47828104185731
45.799,7.28914,0.432337,815,323,0.47786991143873
45.999,7.32097,0.439648,817,318,0.47741458232435
46.199,7.35281,0.45679,826,308,0.4770369165011
46.399,7.38464,0.447853,826,315,0.47683444733609
46.599,7.41647,0.442023,827,320,0.47654463286273
46.799,7.4483,0.447552,828,316,0.4761994165341
46.999,7.48013,0.428323,822,329,0.47591294236876
47.199,7.51196,0.440767,827,321,0.47543704294507
47.399,7.54379,0.444739,817,314,0.47509034251562
47.599,7.57562,0.446996,819,313,0.47478682909047
47.799,7.60745,0.443172,819,316,0.47450892079956
47.999,7.63928,0.437229,830,325,0.47419555159157
48.199,7.67112,0.441659,834,323,0.47382588607565
48.399,7.70295,0.439108,839,327,0.4735042172149
48.599,7.73478,0.442023,827,320,0.47316025504275
48.799,7.76661,0.426025,800,322,0.47284888249232
48.999,7.79844,0.398751,784,337,0.4723806436674
49.199,7.83027,0.397697,789,340,0.47164434723072
49.399,7.8621,0.385702,785,348,0.47090487375841
49.599,7.89393,0.38172,771,345,0.47005284502083
49.799,7.92576,0.388401,790,348,0.46916951657062
49.999,7.95759,0.379613,785,353,0.46836183140492
50.199,7.98943,0.389381,785,345,0.46747434309087
50.399,8.02126,0.392982,794,346,0.46669340965996
50.599,8.05309,0.407473,791,333,0.46595629556336
50.799,8.08492,0.410526,804,336,0.46537146260772
50.999,8.11675,0.414035,806,334,0.46482300798165
51.199,8.14858,0.408893,808,339,0.46431512790183
51.399,8.18041,0.402259,807,344,0.46376090662281
51.599,8.21224,0.434592,817,322,0.46314588755658
51.799,8.24407,0.429584,807,322,0.46286034868102
51.999,8.2759,0.410947,812,339,0.46252758519421
52.199,8.30774,0.424825,815,329,0.46201177934227
52.399,8.33957,0.431858,809,321,0.46163991154884
52.599,8.3714,0.45122,833,315,0.46134209243336
52.799,8.40323,0.456294,833,311,0.46124087150902
52.999,8.43506,0.456897,845,315,0.46119140279393
53.199,8.46689,0.453752,833,313,0.46114845876599
53.399,8.49872,0.454864,830,311,0.46107449417833
53.599,8.53055,0.471566,841,302,0.46101238923655
53.799,8.56238,0.475153,846,301,0.46111792534418
53.999,8.59422,0.476232,854,303,0.46125827609074
54.199,8.62605,0.45866,838,311,0.46140801332983
54.399,8.65788,0.451082,838,317,0.46138053319654
54.599,8.68971,0.433304,822,325,0.46127754786457
54.799,8.72154,0.42732,815,327,0.46099781238592
54.999,8.75337,0.424322,814,329,0.46066103426207
55.199,8.7852,0.426573,816,328,0.46029764391944
55.399,8.81703,0.411458,813,339,0.45996039748025
