time = 23.077	Re = 13	rotation = -16.4521
-0.867476	-0.163904	8446	
-0.347956	0.626499	5406	
0.048316	0.533650	9102	
-0.110154	-0.795445	2652	
0.763809	0.071228	5009	
0.446055	-0.237390	6856	
0.732209	0.148987	3448	
0.158828	-0.229615	877	
-0.737099	-0.239972	4596	
-0.895352	0.231869	10049	
0.345407	0.796593	5809	
0.945427	-0.089481	2142	
-0.620565	0.490228	3400	
0.737221	-0.350956	7682	
-0.184311	0.808129	5136	
0.120832	0.087508	2605	
0.354281	0.204426	1874	
-0.178776	0.489777	2171	
0.476898	-0.347414	8329	
0.233286	0.606889	6391	
-0.124410	0.914350	9496	
-0.094689	0.485319	9869	
0.516290	0.514494	9405	
0.454885	-0.171935	9253	
-0.056142	0.628443	3511	
0.813338	0.252251	1152	
0.681645	-0.205706	8919	
0.400277	-0.127391	8317	
0.854092	-0.150818	4373	
0.075503	0.618206	588	
0.167569	0.825161	5408	
0.598292	0.306856	2169	
0.171085	0.359176	6332	
0.879747	0.459109	2799	
0.075614	0.780924	6886	
0.436335	-0.257844	2496	
-0.061886	-0.298353	6348	
0.266488	-0.208185	5638	
0.508093	0.495715	2754	
0.388570	-0.168350	2725	
-0.482095	0.715835	5401	
0.258358	0.345526	9675	
0.234964	0.454228	3336	
0.605212	-0.168018	7470	
-0.742595	0.481316	8947	
0.477366	0.419363	9045	
0.499231	0.523660	3904	
0.856182	0.138642	8371	
0.317804	-0.186158	8720	
0.386855	0.351802	6945	
-0.166723	0.818361	4633	
-0.048441	-0.287118	6777	
0.303630	-0.461670	6720	
0.478290	0.125370	401	
0.783011	0.309296	4960	
0.748955	0.347621	6660	
0.128211	0.527302	6301	
-0.507212	0.824674	5811	
-0.141925	-0.053397	9248	
0.755458	0.457934	5008	
-0.615323	0.634374	5596	
-0.611817	0.606291	4064	
0.149701	-0.315284	6257	
0.835217	0.307021	3245	
0.273102	-0.118599	4514	
0.427979	0.658213	2500	
-0.548303	0.571872	7282	
0.769269	0.127779	8399	
0.809207	0.254644	1152	
-0.221554	0.611103	2235	
-0.086254	0.966622	5996	
0.383254	0.140269	5038	
-0.568432	0.507869	5050	
0.079698	0.836362	4415	
0.393887	-0.177471	6441	
0.358393	0.735401	2207	
-0.540410	0.537316	5554	
0.080860	0.396812	2512	
0.796423	0.123052	1161	
-0.255266	-0.107704	1165	
0.914569	-0.115733	10145	
0.479324	-0.663564	7574	
0.434111	-0.193852	6427	
0.280098	0.216226	6962	
0.838655	0.265182	7892	
0.470052	0.044859	9201	
-0.797198	-0.091415	8263	
0.395945	0.400070	7376	
0.442091	0.519330	3907	
0.371378	0.371666	708	
