time = 0.001	Re = 1	rotation = 0
0.085820	-0.519473	1708	
0.457255	0.272817	9666	
0.925136	0.204231	9779	
0.237579	-0.800747	8698	
0.212346	0.517960	6734	
0.452136	-0.586111	2898	
0.242870	-0.007662	8894	
0.291333	0.029615	1343	
0.753754	-0.570708	9004	
0.627028	0.009343	2502	
0.178835	0.891056	8267	
0.387579	0.859657	1282	
-0.887814	0.330832	9473	
0.369905	-0.621934	511	
0.497662	-0.273036	4513	
0.785581	-0.341931	5618	
0.747801	0.244790	7620	
0.644302	-0.443801	8090	
-0.070170	-0.994122	1963	
0.171207	0.157274	4494	
0.351542	0.903841	3048	
0.400986	-0.468560	8639	
0.649549	0.001915	4056	
0.047690	0.381226	7241	
0.214709	-0.724126	2744	
-0.401864	-0.913763	2925	
0.337439	0.406152	8714	
0.057095	0.041914	1497	
0.495145	-0.133963	6230	
-0.475420	0.778046	6385	
0.125336	0.222114	1045	
0.601659	0.273670	2300	
0.218089	0.137231	909	
0.238769	-0.760066	6510	
0.350921	-0.767747	6560	
0.816773	0.097102	2888	
0.186746	0.111158	6116	
0.271524	-0.290778	8497	
0.663546	0.157954	4926	
0.302854	0.562411	4378	
0.633789	0.071867	3598	
0.853733	-0.407452	1446	
0.442043	0.475476	4251	
0.547903	0.570934	5651	
0.806507	0.185086	4401	
0.041936	0.099690	9047	
0.170847	0.948942	10001	
0.616179	-0.190123	7844	
0.295971	0.438028	1590	
0.475963	-0.222954	8335	
0.511269	0.283305	7764	
0.568447	-0.275400	2434	
0.315671	0.422202	2822	
0.345950	-0.069359	6439	
0.257349	-0.475734	7805	
0.507071	-0.210589	2625	
0.282990	0.319404	9059	
0.709906	0.424246	3652	
0.539095	0.436842	2125	
0.263973	-0.032044	4534	
0.153969	0.356175	2827	
-0.931287	-0.186577	9989	
0.105317	0.286600	1503	
0.260727	0.901769	3151	
0.212531	-0.750140	2621	
0.562289	-0.084833	6173	
0.652189	-0.068439	3271	
0.453921	-0.496786	1206	
0.661064	0.070846	4848	
0.231577	0.089478	8208	
0.953304	-0.279771	4025	
-0.895301	0.406886	5701	
0.354498	-0.118637	9581	
0.198432	0.283078	8053	
0.228272	0.307549	4002	
0.784729	-0.469461	9424	
0.748673	-0.490557	5568	
0.190481	-0.743618	1830	
0.391552	0.124832	2452	
0.703394	0.131879	5840	
0.891407	0.208525	9597	
0.487716	0.509653	1777	
0.503483	0.527767	1757	
-0.894635	0.272476	1325	
0.226639	0.006739	4822	
0.091332	0.681096	2238	
-0.031782	0.930689	9893	
0.716888	-0.289869	1741	
0.737615	0.521733	6137	
0.091466	0.214588	3352	
0.050054	-0.496159	3133	
0.624853	-0.476924	8423	
0.621485	-0.285457	5874	
0.812061	0.532193	1550	
0.433683	0.340459	9368	
0.265921	-0.832315	10030	
0.390140	0.305439	5133	
0.096221	-0.638424	4749	
0.407433	-0.869165	4396	
0.916197	0.149128	9921	
0.463502	-0.815669	8605	
-0.954224	0.100385	4929	
0.017937	0.900801	9213	
0.490144	-0.598393	4826	
0.553117	-0.579727	6217	
0.277715	-0.676288	5064	
0.136254	0.214785	781	
0.037565	0.411388	6911	
0.695881	0.241510	786	
0.584393	-0.327121	4143	
0.600646	-0.400576	3870	
0.480880	-0.435142	8278	
0.192502	0.249512	5946	
0.167428	-0.172734	5163	
0.586871	-0.125002	3303	
0.362901	0.694846	9631	
0.144753	-0.037615	7052	
0.210353	0.591893	1352	
0.502706	-0.670601	829	
-0.746961	0.558675	9885	
0.178174	-0.068675	1531	
0.120873	0.691281	8167	
0.871566	-0.266706	9748	
0.630303	0.008882	2502	
0.267382	-0.290939	736	
0.578212	-0.562661	5001	
0.491956	-0.594348	4826	
0.264676	0.727165	5972	
-0.177602	0.898555	10007	
0.322754	0.339832	10064	
0.195888	-0.718181	2461	
0.936815	0.241042	9356	
0.622553	0.212248	9579	
0.087159	-0.698004	3008	
-0.127279	0.908058	611	
0.272042	-0.849279	752	
0.153464	0.082863	3281	
0.410374	0.845388	9204	
-0.311763	-0.872091	5793	
0.054402	0.749576	661	
0.767790	-0.363509	5041	
0.518215	-0.027109	3674	
0.525447	-0.644060	8802	
0.037865	0.637285	1116	
0.719632	0.525118	5667	
0.237935	0.838309	7596	
0.386003	-0.302187	3931	
0.096631	0.822252	1906	
0.356287	-0.345428	3944	
0.636306	-0.230512	8769	
0.532855	-0.151194	5388	
0.326987	-0.586079	8647	
0.268424	0.033205	1024	
0.052011	0.828868	1641	
0.295792	-0.166360	1664	
0.224696	-0.242148	2618	
0.244314	-0.348639	4098	
0.828477	0.097243	4498	
0.563836	0.699164	6703	
0.199849	0.787211	8766	
0.352805	-0.321323	2209	
0.263382	-0.723209	7540	
-0.909436	-0.213847	10012	
0.080246	-0.750765	2051	
0.163635	0.548016	9036	
0.490890	0.057213	1858	
0.145452	0.357814	2827	
0.468635	0.082808	8210	
0.283720	-0.365386	5272	
0.168742	-0.711972	2516	
0.678545	-0.028199	5689	
0.302512	0.253269	5985	
0.851058	0.257385	8088	
0.336688	0.408410	8714	
