time = 0.001	Re = 1	rotation = 0
0.454815	0.582387	6099	
0.686476	0.174391	7657	
0.914818	-0.327635	2257	
0.426276	-0.205890	9131	
0.114841	0.628680	1451	
0.398484	-0.363498	8656	
0.102813	-0.380398	2249	
0.812415	0.511335	2545	
0.820186	0.428850	9063	
0.849999	-0.406200	1486	
0.271720	-0.915970	8224	
0.226560	-0.863721	5876	
0.430440	0.616786	2544	
0.320153	0.560420	5099	
0.256983	0.169835	7088	
0.134593	-0.239235	6221	
0.038024	0.546486	7479	
0.452164	0.332189	1403	
0.710589	0.105258	7539	
0.696949	0.269931	870	
0.757419	-0.018845	1748	
0.188405	-0.377092	5940	
0.188872	0.790396	2448	
0.646770	-0.005687	3048	
0.369503	-0.692484	6285	
0.119908	-0.738251	1576	
0.228838	0.705039	3549	
0.244829	-0.287275	398	
0.931913	-0.040341	7999	
0.592745	0.656876	8414	
0.142923	0.067303	1805	
0.098891	0.085466	6827	
0.594471	0.091584	4324	
0.364981	0.696512	401	
0.310162	0.527545	3954	
0.449093	0.610394	3741	
0.691386	0.515232	4630	
0.780250	0.501913	5557	
0.391475	-0.605509	2244	
0.866539	-0.164140	4776	
0.925109	0.283634	8225	
0.516497	0.133965	3013	
0.535729	-0.726996	6385	
0.670925	-0.643237	9400	
0.154613	-0.859978	5845	
0.149963	0.147838	8950	
0.357771	0.867323	663	
0.367179	0.851916	7843	
0.058007	-0.560178	384	
0.259995	-0.257825	8333	
0.583983	-0.215962	2133	
0.268147	-0.026380	3933	
0.675339	-0.616329	8538	
0.150040	-0.675647	806	
0.114262	-0.418592	3214	
0.695639	-0.335142	7685	
0.095716	0.259708	8759	
0.774948	-0.190692	8829	
0.666995	0.177395	3966	
0.643487	-0.156879	3570	
0.477729	0.629422	5754	
0.545292	0.631791	7785	
0.729887	-0.549964	8450	
0.793855	0.257438	3119	
0.233303	0.031514	6560	
0.240471	0.443205	4753	
0.301859	-0.006813	972	
0.136139	-0.064242	9222	
0.158879	-0.617534	4842	
0.770046	-0.215632	2745	
0.222941	-0.417030	1240	
0.771845	0.523822	8602	
0.082203	0.661991	7289	
0.171315	-0.727307	984	
0.533194	-0.262582	5075	
0.143991	0.737314	3537	
0.505899	-0.303090	2669	
0.533339	0.617891	8320	
0.171666	0.731182	875	
0.585676	0.230478	6586	
0.587985	-0.557950	6328	
0.184693	-0.045480	5639	
0.355824	-0.518683	2635	
0.581981	0.711788	9241	
0.557711	0.812489	8957	
0.201885	0.174471	3356	
0.355165	0.487055	1954	
0.449704	-0.176087	2268	
0.142688	-0.291034	3417	
0.667821	0.016877	3697	
0.519428	0.295812	452	
0.275279	-0.558783	1952	
0.081405	0.407219	3094	
0.646867	-0.258700	5010	
0.076345	-0.441017	2971	
0.695271	-0.136909	6183	
0.919860	0.129972	2949	
0.711288	0.012828	6743	
0.411422	-0.705817	6243	
0.402440	0.595022	8864	
0.001096	0.909189	8746	
0.662135	-0.379367	4576	
0.489349	-0.472344	324	
0.436208	0.276002	7705	
0.673723	-0.355127	4246	
0.375202	-0.176326	5404	
0.149541	0.826716	4044	
0.472180	0.213937	4953	
0.179683	0.094189	1871	
0.739166	0.334097	3883	
0.611497	-0.741549	7765	
0.540438	0.734327	7828	
0.658455	-0.089859	5332	
0.466285	-0.577192	4125	
0.387239	-0.766976	6404	
0.192005	0.578885	1357	
0.472865	0.675006	5256	
0.322615	-0.233931	3728	
0.654996	0.065084	3784	
0.789818	0.532206	1254	
0.575565	0.160803	456	
0.734582	0.220392	4621	
0.558987	-0.005168	5831	
0.436932	-0.162862	1016	
0.586924	0.366979	4623	
0.222895	0.123492	6169	
0.110362	-0.441646	3424	
0.552645	-0.095590	2845	
0.440694	0.307957	7023	
0.348344	-0.230018	2724	
0.154151	0.780856	1385	
0.236351	-0.856733	3955	
0.149015	0.641583	2368	
0.929390	-0.289133	8170	
0.354194	0.701552	401	
0.640898	-0.107674	3513	
0.293362	0.339096	3754	
0.803981	-0.230037	4706	
0.464574	0.284078	950	
0.588247	0.465864	4170	
0.855730	0.082631	4407	
0.066525	-0.231359	1189	
0.197851	0.959214	7891	
0.703015	0.597769	7803	
0.054314	0.445261	1270	
0.484216	0.589369	5701	
0.715410	-0.647878	1562	
0.918875	0.154494	2949	
0.385181	-0.544973	7639	
0.735740	0.218992	3041	
0.456116	-0.357149	2741	
0.189453	0.747172	676	
0.074833	-0.370627	4264	
0.591146	0.359577	4623	
0.270377	-0.485294	6988	
0.341940	-0.832348	364	
0.939325	-0.190617	1504	
0.200189	-0.312572	4919	
0.195301	-0.488517	2645	
0.757072	-0.524713	8767	
0.699030	0.186032	7657	
0.145610	0.527272	4414	
0.290420	-0.924468	4926	
0.390696	0.465863	7793	
0.542191	-0.050995	5367	
0.046030	0.301309	2944	
0.872503	-0.077167	7510	
0.522621	-0.644943	4509	
0.121346	0.227574	4396	
0.715985	-0.425709	5897	
0.032795	-0.528406	927	
0.103697	0.643881	5091	
0.751475	-0.425994	6725	
0.329604	0.859367	7373	
0.713147	0.623436	8357	
0.454416	-0.345929	2741	
0.138557	0.250618	5751	
0.125628	0.473995	3064	
0.546454	-0.085886	2845	
0.753133	0.213798	3041	
0.102593	-0.161790	6200	
0.400884	-0.200112	7443	
0.471294	-0.021278	7501	
0.016050	-0.540549	2211	
0.470890	-0.412874	4765	
0.271967	-0.551411	4260	
0.566731	0.287639	3189	
0.279541	-0.382547	3236	
0.499142	0.136620	3037	
0.545849	-0.480453	2405	
0.145710	-0.263401	9419	
0.784311	0.191482	1883	
0.181339	-0.533746	7418	
0.903984	-0.208528	1170	
0.727759	-0.029851	5733	
0.243191	-0.056960	1552	
0.135496	-0.279468	1881	
0.016167	0.603545	8690	
0.100896	0.191615	4502	
0.261291	-0.940232	4464	
0.110094	0.398320	3223	
0.281233	-0.203418	5515	
0.824423	-0.438585	978	
0.468821	0.651255	5188	
0.768169	-0.523636	311	
0.252814	0.096693	8784	
0.772537	0.474429	5666	
