time = 0.052	Re = 40	rotation = 5.07201e-06
0.526215	0.017643	1440	
0.926686	0.047125	2320	
0.229997	-0.937006	3446	
0.505840	0.315250	2004	
0.459665	0.336635	1386	
0.031430	-0.969726	3275	
0.791755	0.263941	2569	
0.765972	-0.209214	3167	
0.603333	-0.036748	2616	
0.104476	0.654081	408	
0.046222	0.935172	3407	
0.710181	0.079340	1196	
0.759022	0.615838	1227	
0.774719	0.174666	1530	
0.730126	-0.053542	1415	
0.780809	0.521347	333	
0.429806	0.076930	1993	
0.455201	0.417573	2060	
0.538775	0.106389	1427	
0.665103	0.073603	1398	
0.240841	0.824074	716	
0.617316	0.558230	2917	
0.342529	-0.673426	1435	
0.665218	-0.296977	940	
0.395557	0.722846	1090	
0.922780	0.052895	2320	
0.145283	-0.206822	643	
0.182220	-0.747230	1218	
0.248736	0.560786	705	
0.491765	0.771797	3029	
0.083068	0.897338	3282	
0.251297	-0.900179	340	
0.435255	-0.854732	671	
0.705221	0.171162	2343	
0.151001	0.254660	3028	
0.457423	0.041167	1059	
0.212505	0.877887	3264	
0.351441	0.564321	2287	
0.363433	-0.548871	1462	
0.309154	0.019186	3052	
0.211540	0.472470	1764	
0.592060	-0.343555	2396	
0.022700	0.717101	3249	
0.115861	-0.422892	359	
0.296603	0.299839	699	
0.738896	0.248989	3081	
0.366167	0.180849	1751	
0.196428	-0.916761	594	
0.423113	-0.673609	2115	
0.201846	-0.592345	654	
0.578539	-0.062408	2731	
0.720902	-0.042316	1124	
0.301558	0.281695	699	
0.241023	0.359008	1481	
0.241753	0.451822	1863	
0.365957	0.539767	2265	
0.074304	0.952769	2998	
0.145484	0.403877	2366	
0.372414	-0.610532	927	
0.154453	-0.928198	224	
0.620020	0.209209	1430	
0.211958	-0.418391	958	
0.480236	-0.731354	2473	
0.844282	0.461337	2855	
0.534514	-0.737790	2964	
0.224881	0.859964	873	
0.748802	0.576330	2867	
0.760985	-0.157053	1982	
0.022630	0.869403	259	
0.667800	0.589127	743	
0.340088	0.887826	514	
0.494032	-0.546982	869	
0.503606	0.310059	2004	
0.354515	-0.771330	2038	
0.458051	-0.008302	1076	
0.691315	-0.683159	1270	
0.694495	-0.285626	1452	
0.848261	-0.048754	2425	
0.218754	0.541887	705	
0.158689	-0.585260	579	
0.380412	0.003780	2344	
0.479676	-0.110496	834	
0.267502	0.926965	2784	
0.638420	0.606887	593	
0.526227	-0.246551	1693	
0.389331	-0.437820	1860	
0.511967	0.735399	3379	
0.792560	-0.175158	2334	
0.753050	-0.188122	2474	
0.337061	-0.515530	639	
0.253078	-0.388571	859	
0.613605	-0.122734	635	
0.683169	-0.694664	1270	
0.342833	0.066831	1081	
0.642365	-0.432709	2398	
0.298757	-0.895605	3417	
0.388277	-0.623829	927	
0.416249	0.186233	1579	
0.695259	0.586093	440	
0.461533	-0.188526	577	
0.419818	-0.846506	248	
0.158572	0.399157	2366	
0.193112	0.719129	2727	
0.578239	0.535142	2825	
0.212972	0.517965	1030	
0.831607	0.122054	2453	
0.035774	-0.339288	1038	
0.257311	-0.902359	340	
0.592688	0.106813	2341	
0.021312	0.907630	602	
0.947784	-0.038236	603	
0.053375	0.943391	3407	
0.421807	0.655662	902	
0.689288	-0.158528	1659	
0.261633	-0.489472	2645	
0.360413	0.367220	1425	
0.459540	0.586269	2522	
0.661366	-0.734940	2864	
0.848579	0.275612	3509	
0.787617	0.018121	1829	
0.582608	0.171250	2292	
0.049443	-0.229523	3103	
0.455124	-0.720980	2045	
0.057658	-0.989702	2871	
0.377989	-0.499652	804	
0.622742	-0.235435	1615	
0.786698	-0.470315	3217	
0.158427	-0.779623	1716	
0.490663	0.143303	886	
0.219724	0.100718	415	
0.739622	-0.467203	2577	
0.853932	-0.206210	1909	
0.313905	0.205023	1460	
0.438189	-0.747322	2045	
0.378821	0.711097	634	
0.515066	0.238430	1566	
0.387906	-0.632039	927	
0.566109	0.127018	1831	
0.279240	-0.897796	340	
0.400094	-0.081251	2581	
0.328992	-0.138520	1599	
0.311067	0.056047	1184	
0.105739	0.960166	385	
0.055404	-0.458846	356	
0.657494	0.131906	898	
0.464660	-0.625383	1350	
0.654104	-0.249126	797	
0.484417	-0.063985	1157	
0.696729	0.042986	1239	
0.396086	-0.590370	1137	
0.051482	-0.546064	231	
0.642712	-0.455561	1757	
0.238533	0.566397	705	
0.664393	-0.172359	3014	
0.725515	-0.408277	2013	
0.304698	-0.191083	1212	
0.421031	0.118933	1135	
0.347798	0.734252	870	
0.685702	0.569877	2596	
0.546305	0.781993	3112	
0.093384	0.574052	3469	
0.622170	0.710090	3466	
0.881604	-0.030248	2418	
0.633623	-0.060081	786	
0.605107	0.188219	1523	
0.766234	0.137741	1956	
0.552817	0.206914	2416	
0.212328	0.374804	2047	
0.206870	0.962956	712	
0.646807	-0.439098	2398	
0.208665	-0.103399	323	
0.214866	0.729406	2609	
0.072368	-0.419616	2092	
0.213553	-0.794068	1931	
0.474445	0.735709	2121	
0.455098	-0.450691	1085	
0.493659	0.338269	2204	
0.068417	-0.315814	919	
0.389915	0.022402	2344	
0.039441	-0.688228	891	
0.377133	0.034591	2057	
0.636533	-0.684382	3232	
0.224539	0.078658	485	
0.090040	0.558364	3469	
0.542121	-0.751738	252	
0.492580	0.535660	2881	
0.122669	-0.285180	3294	
0.112452	-0.692853	597	
0.074133	-0.545191	1680	
0.427851	0.606877	2652	
0.678441	0.205344	2040	
0.924639	-0.299211	3243	
