time = 10.002	Re = 10	rotation = 3.52112e-11
-0.657069	0.253118	6729	
-0.896344	-0.188016	8679	
-0.623677	-0.205881	2098	
0.020154	0.754523	1959	
-0.413879	-0.649114	5771	
-0.578456	-0.545699	6999	
0.604586	0.661146	4975	
0.110184	-0.944208	10631	
0.328405	0.643721	5952	
0.650212	-0.500220	1904	
0.334139	0.306171	3085	
-0.373853	0.834144	2984	
-0.165678	0.318638	1220	
0.089177	0.282072	4448	
-0.024349	-0.969842	6159	
0.686069	-0.504203	3261	
0.072444	-0.967802	7648	
0.716803	-0.368637	9803	
-0.582112	0.089466	7124	
0.131426	0.478127	1574	
0.215284	0.629466	4239	
-0.263338	-0.768631	3740	
-0.812197	-0.005184	1274	
0.452485	-0.692395	6761	
0.405296	-0.905785	9041	
0.009337	0.632472	2432	
-0.399526	0.869962	1864	
0.666281	-0.441052	8664	
-0.287569	0.596001	10689	
-0.608508	0.443814	5428	
0.283332	-0.924682	10609	
-0.357177	0.596340	6916	
-0.421949	-0.846177	785	
-0.505730	-0.823448	3814	
0.248972	0.310879	7255	
-0.673984	0.259866	8220	
-0.381773	-0.881288	10119	
-0.241230	0.121371	8975	
-0.185667	-0.002210	5779	
-0.924576	-0.077126	6233	
0.448780	0.586267	9035	
-0.923480	-0.242803	939	
0.135216	0.425359	8425	
-0.907392	-0.126665	7696	
-0.688764	0.291063	9814	
-0.008006	0.205975	4218	
-0.115118	0.257892	6456	
0.346737	0.661891	5158	
0.063143	0.212022	4320	
0.628067	0.552379	1025	
-0.728808	-0.319802	2821	
-0.512592	0.730655	8105	
-0.279793	0.467551	5861	
-0.103917	0.914398	2292	
-0.352637	0.581114	5579	
0.168835	-0.809896	1212	
0.047638	0.377490	700	
0.853869	0.159682	6109	
-0.373274	0.382323	1919	
0.259507	0.710724	2941	
-0.691979	0.317930	10048	
0.901029	-0.409308	3428	
0.682616	0.181624	3507	
0.085771	0.284903	5094	
-0.006929	0.334741	5359	
-0.270292	0.443917	7362	
-0.252625	-0.903293	511	
0.462168	0.156877	3855	
-0.405594	0.820063	5641	
0.392067	0.829433	2126	
-0.559881	0.198434	4946	
0.703193	-0.357658	7370	
0.167888	-0.769378	1366	
0.664840	0.552322	3792	
-0.663623	0.119725	5912	
0.288107	0.664135	5945	
-0.400275	0.620476	2550	
-0.917651	-0.312353	572	
0.540948	0.237760	2318	
-0.695258	0.339860	1896	
0.858978	0.022036	9318	
-0.578796	-0.097580	3325	
-0.263303	0.177846	1179	
-0.463615	0.379796	8410	
-0.685777	0.663419	5986	
0.742044	-0.087644	5809	
-0.182492	0.354309	2863	
-0.223125	0.579589	8515	
0.173051	0.646232	3888	
-0.404202	0.306272	5584	
-0.636444	-0.082460	2505	
0.088185	0.112695	7616	
-0.360789	0.579494	6442	
0.567041	-0.651142	3015	
0.058806	0.872674	9656	
0.048206	0.436112	8199	
-0.414675	0.056891	2261	
0.543790	0.029051	505	
-0.848172	0.022262	7651	
0.520119	0.661300	2787	
-0.557802	0.518526	5459	
-0.147637	0.148092	3619	
-0.084644	0.487359	6457	
-0.903748	0.288887	1454	
-0.859526	-0.391829	10031	
0.457135	0.465233	5892	
-0.674185	0.554004	5122	
0.288305	0.528686	7628	
0.558585	0.622970	10413	
-0.913672	-0.203604	1528	
-0.153784	0.433217	6308	
-0.664915	-0.454521	8727	
0.423229	0.194527	3055	
-0.610885	0.298540	3675	
0.426744	0.166585	5855	
